county,0,1,population,,rate_act,state,vacc_perc,vaccinated,popn
45001,0.32,Abbeville ,25,,7793, SC,31.8,"7,793",24527
22001,0.37,Acadia Parish,63,,22983, LA,37,"22,983",62045
51001,0.53,Accomack ,33,,16854, VA,52.2,"16,854",32316
16001,0.48,Ada ,482,,228487, ID,47.4,"228,487",481587
29001,0.37,Adair ,26,,9277, MO,36.6,"9,277",25343
40001,0.25,Adair ,23,,5364, OK,24.2,"5,364",22194
19001,0.42,Adair ,8,,2958, IA,41.4,"2,958",7152
21001,0.3,Adair ,20,,5715, KY,29.8,"5,715",19202
42001,0.45,Adams ,104,,46015, PA,44.7,"46,015",103009
31001,0.34,Adams ,32,,10574, NE,33.7,"10,574",31363
28001,0.39,Adams ,31,,11921, MS,38.8,"11,921",30693
38001,0.41,Adams ,3,,894, ND,40.3,894,2216
55001,0.47,Adams ,21,,9418, WI,46.6,"9,418",20220
8001,0.53,Adams ,518,,273706, CO,52.9,"273,706",517421
17001,0.42,Adams ,66,,27498, IL,42,"27,498",65435
18001,0.29,Adams ,36,,10125, IN,28.3,"10,125",35777
53001,0.42,Adams ,20,,8245, WA,41.3,"8,245",19983
19003,0.46,Adams ,4,,1629, IA,45.2,"1,629",3602
16003,0.34,Adams ,5,,1461, ID,34,"1,461",4294
39001,0.27,Adams ,28,,7336, OH,26.5,"7,336",27698
50001,0.61,Addison ,37,,22087, VT,60.1,"22,087",36777
72001,0.59,Adjuntas Municipio,18,,10152, PR,58.5,"10,152",17363
72003,0.57,Aguada Municipio,37,,20921, PR,57,"20,921",36694
72005,0.6,Aguadilla Municipio,51,,30153, PR,60,"30,153",50265
72007,0.58,Aguas Buenas Municipio,25,,14293, PR,57.6,"14,293",24814
72009,0.74,Aibonito Municipio,23,,16361, PR,74,"16,361",22108
45003,0.35,Aiken ,171,,59614, SC,34.9,"59,614",170872
27001,0.51,Aitkin ,16,,8017, MN,50.5,"8,017",15886
12001,0.54,Alachua ,270,,143677, FL,53.4,"143,677",269043
37001,0.45,Alamance ,170,,75972, NC,44.8,"75,972",169509
6001,0.67,Alameda ,1672,,1109032, CA,66.4,"1,109,032",1671329
8003,0.46,Alamosa ,17,,7321, CO,45.1,"7,321",16233
56001,0.44,Albany ,39,,17103, WY,44,"17,103",38880
36001,0.63,Albany ,306,,191559, NY,62.7,"191,559",305506
51003,0.23,Albemarle ,110,,24363, VA,22.3,"24,363",109330
26001,0.5,Alcona ,11,,5108, MI,49.1,"5,108",10405
28003,0.29,Alcorn ,37,,10492, MS,28.4,"10,492",36953
2013,0.67,Aleutians East Borough,4,,2225, AK,66.7,"2,225",3337
2016,0.52,Aleutians West Census Area,6,,2927, AK,52,"2,927",5634
17003,0.23,Alexander ,6,,1299, IL,22.5,"1,299",5761
37003,0.36,Alexander ,38,,13337, NC,35.6,"13,337",37497
51510,0.29,Alexandria city,160,,44813, VA,28.1,"44,813",159428
40003,0.38,Alfalfa ,6,,2150, OK,37.7,"2,150",5702
26003,0.55,Alger ,10,,4981, MI,54.7,"4,981",9108
19005,0.45,Allamakee ,14,,6052, IA,44.2,"6,052",13687
26005,0.43,Allegan ,119,,49799, MI,42.2,"49,799",118081
24001,0.45,Allegany ,71,,31459, MD,44.7,"31,459",70416
36003,0.36,Allegany ,47,,16220, NY,35.2,"16,220",46091
37005,0.46,Alleghany ,12,,5074, NC,45.6,"5,074",11137
51005,0.04,Alleghany ,15,,557, VA,3.7,557,14860
42003,0.56,Allegheny ,1217,,675064, PA,55.5,"675,064",1216045
39003,0.35,Allen ,103,,35277, OH,34.5,"35,277",102351
21003,0.34,Allen ,22,,7047, KY,33.1,"7,047",21315
18003,0.45,Allen ,380,,167562, IN,44.2,"167,562",379299
20001,0.36,Allen ,13,,4381, KS,35.4,"4,381",12369
22003,0.27,Allen Parish,26,,6726, LA,26.2,"6,726",25627
45005,0.44,Allendale ,9,,3777, SC,43.5,"3,777",8688
26007,0.45,Alpena ,29,,12714, MI,44.8,"12,714",28405
6003,0,Alpine ,2,,0, CA,0,0,1129
6005,0.42,Amador ,40,,16346, CA,41.1,"16,346",39752
51007,0.02,Amelia ,14,,198, VA,1.5,198,13145
51009,0.28,Amherst ,32,,8655, VA,27.4,"8,655",31605
28005,0.28,Amite ,13,,3334, MS,27.1,"3,334",12297
72011,0.6,Anasco Municipio,27,,15636, PR,59.8,"15,636",26934
2020,0.49,Anchorage Municipality,288,,139930, AK,48.6,"139,930",288000
47001,0.45,Anderson ,77,,33922, TN,44.1,"33,922",76978
48001,0,Anderson ,58,,0, TX,0,0,57735
20003,0.34,Anderson ,8,,2641, KS,33.6,"2,641",7858
45007,0.31,Anderson ,203,,62859, SC,31,"62,859",202558
21005,0.49,Anderson ,23,,11098, KY,48.8,"11,098",22747
29003,0.3,Andrew ,18,,5156, MO,29.1,"5,156",17712
48003,0,Andrews ,19,,0, TX,0,0,18705
23001,0.56,Androscoggin ,109,,60376, ME,55.8,"60,376",108277
48005,0,Angelina ,87,,0, TX,0,0,86715
24003,0.64,Anne Arundel ,580,,365650, MD,63.1,"365,650",579234
27003,0.47,Anoka ,357,,164800, MN,46.2,"164,800",356921
37007,0.23,Anson ,25,,5584, NC,22.8,"5,584",24446
31003,0.31,Antelope ,7,,1944, NE,30.9,"1,944",6298
26009,0.51,Antrim ,24,,11722, MI,50.3,"11,722",23324
4001,0.67,Apache ,72,,47969, AZ,66.7,"47,969",71887
19007,0.39,Appanoose ,13,,4817, IA,38.8,"4,817",12426
13001,0.09,Appling ,19,,1536, GA,8.4,"1,536",18386
51011,0.02,Appomattox ,16,,222, VA,1.4,222,15911
48007,0,Aransas ,24,,0, TX,0,0,23510
8005,0.55,Arapahoe ,657,,355759, CO,54.2,"355,759",656590
48009,0,Archer ,9,,0, TX,0,0,8553
8007,0.49,Archuleta ,15,,6751, CO,48.1,"6,751",14029
72013,0.94,Arecibo Municipio,82,,76783, PR,93.7,"76,783",81966
26011,0.44,Arenac ,15,,6433, MI,43.2,"6,433",14883
5001,0.42,Arkansas ,18,,7317, AR,41.8,"7,317",17486
51013,0.38,Arlington ,237,,88018, VA,37.2,"88,018",236842
48011,0,Armstrong ,2,,0, TX,0,0,1887
42005,0.49,Armstrong ,65,,31541, PA,48.7,"31,541",64735
23003,0.56,Aroostook ,68,,36984, ME,55.2,"36,984",67055
72015,0.6,Arroyo Municipio,18,,10249, PR,59.5,"10,249",17238
31005,0.16,Arthur ,1,,70, NE,15.1,70,463
22005,0.38,Ascension Parish,127,,47072, LA,37.2,"47,072",126604
37009,0.41,Ashe ,28,,11010, NC,40.5,"11,010",27203
55003,0.58,Ashland ,16,,8885, WI,57.1,"8,885",15562
39005,0.34,Ashland ,54,,17987, OH,33.6,"17,987",53484
5003,0.37,Ashley ,20,,7196, AR,36.6,"7,196",19657
39007,0.42,Ashtabula ,98,,40273, OH,41.4,"40,273",97241
53003,0.33,Asotin ,23,,7444, WA,33,"7,444",22582
22007,0.32,Assumption Parish,22,,6846, LA,31.3,"6,846",21891
48013,0,Atascosa ,52,,0, TX,0,0,51153
20005,0.35,Atchison ,17,,5567, KS,34.6,"5,567",16073
29005,0.46,Atchison ,6,,2347, MO,45.6,"2,347",5143
39009,0.42,Athens ,66,,27360, OH,41.9,"27,360",65327
13003,0.09,Atkinson ,9,,714, GA,8.7,714,8165
34001,0.54,Atlantic ,264,,140665, NJ,53.3,"140,665",263670
40005,0.27,Atoka ,14,,3712, OK,27,"3,712",13758
28007,0.37,Attala ,19,,6650, MS,36.6,"6,650",18174
29007,0.3,Audrain ,26,,7509, MO,29.6,"7,509",25388
19009,0.51,Audubon ,6,,2782, IA,50.6,"2,782",5496
39011,0.34,Auglaize ,46,,15155, OH,33.2,"15,155",45656
51015,0.22,Augusta ,76,,16554, VA,21.9,"16,554",75558
46003,0.39,Aurora ,3,,1071, SD,38.9,"1,071",2751
48015,0,Austin ,31,,0, TX,0,0,30032
1001,0.29,Autauga ,56,,15849, AL,28.4,"15,849",55869
37011,0.43,Avery ,18,,7492, NC,42.7,"7,492",17557
22009,0.32,Avoyelles Parish,41,,12549, LA,31.3,"12,549",40144
8009,0.33,Baca ,4,,1163, CO,32.5,"1,163",3581
13005,0.08,Bacon ,12,,891, GA,8,891,11164
48017,0,Bailey ,7,,0, TX,0,0,7000
41001,0.62,Baker ,17,,9916, OR,61.5,"9,916",16124
13007,0.26,Baker ,4,,783, GA,25.8,783,3038
12003,0.24,Baker ,30,,6951, FL,23.8,"6,951",29210
13009,0.09,Baldwin ,45,,3889, GA,8.7,"3,889",44890
1003,0.35,Baldwin ,224,,76858, AL,34.4,"76,858",223234
21007,0.27,Ballard ,8,,2090, KY,26.5,"2,090",7888
24005,0.6,Baltimore ,828,,489077, MD,59.1,"489,077",827370
24510,0.51,Baltimore city,594,,302262, MD,50.9,"302,262",593490
45009,0.37,Bamberg ,15,,5167, SC,36.7,"5,167",14066
48019,0,Bandera ,24,,0, TX,0,0,23112
13011,0.1,Banks ,20,,1806, GA,9.4,"1,806",19234
31007,0.22,Banner ,1,,164, NE,22,164,745
