"participant","maptype","condition","dataset","county","fips"
"558a327cfdf99b2d75651681","choropleth","best","poverty","county_1",30033
"558a327cfdf99b2d75651681","choropleth","best","poverty","county_2",19049
"558a327cfdf99b2d75651681","choropleth","best","poverty","county_3",48033
"558a327cfdf99b2d75651681","choropleth","best","poverty","county_4",34019
"558a327cfdf99b2d75651681","choropleth","best","poverty","county_5",31135
"5678620289319e0011651232","choropleth","best","poverty","county_1",36103
"5678620289319e0011651232","choropleth","best","poverty","county_2",24031
"5678620289319e0011651232","choropleth","best","poverty","county_3",47187
"5678620289319e0011651232","choropleth","best","poverty","county_4",48085
"5678620289319e0011651232","choropleth","best","poverty","county_5",36091
"5706fb93914b7100093b7925","choropleth","best","poverty","county_1",36103
"5706fb93914b7100093b7925","choropleth","best","poverty","county_2",36059
"5706fb93914b7100093b7925","choropleth","best","poverty","county_3",51059
"5706fb93914b7100093b7925","choropleth","best","poverty","county_4",51107
"5706fb93914b7100093b7925","choropleth","best","poverty","county_5",42091
"59302683d0003800018f39b0","choropleth","best","poverty","county_1",24031
"59302683d0003800018f39b0","choropleth","best","poverty","county_2",24017
"59302683d0003800018f39b0","choropleth","best","poverty","county_3",36091
"59302683d0003800018f39b0","choropleth","best","poverty","county_4",27077
"59302683d0003800018f39b0","choropleth","best","poverty","county_5",30105
"59a1e22bfc15d200014ba09a","choropleth","best","poverty","county_1",56029
"59a1e22bfc15d200014ba09a","choropleth","best","poverty","county_2",36103
"59a1e22bfc15d200014ba09a","choropleth","best","poverty","county_3",17197
"59a1e22bfc15d200014ba09a","choropleth","best","poverty","county_4",55109
"59a1e22bfc15d200014ba09a","choropleth","best","poverty","county_5",46045
"5d8efda521305a001957462d","choropleth","best","poverty","county_1",8035
"5d8efda521305a001957462d","choropleth","best","poverty","county_2",8039
"5d8efda521305a001957462d","choropleth","best","poverty","county_3",36103
"5d8efda521305a001957462d","choropleth","best","poverty","county_4",42029
"5d8efda521305a001957462d","choropleth","best","poverty","county_5",34005
"5de90d6405263f000a4ed586","choropleth","best","poverty","county_1",51059
"5de90d6405263f000a4ed586","choropleth","best","poverty","county_2",24031
"5de90d6405263f000a4ed586","choropleth","best","poverty","county_3",36059
"5de90d6405263f000a4ed586","choropleth","best","poverty","county_4",48491
"5de90d6405263f000a4ed586","choropleth","best","poverty","county_5",17043
"5e69d26e9452140389f5070f","choropleth","best","poverty","county_1",51107
"5e69d26e9452140389f5070f","choropleth","best","poverty","county_2",17133
"5e69d26e9452140389f5070f","choropleth","best","poverty","county_3",46057
"5e69d26e9452140389f5070f","choropleth","best","poverty","county_4",49045
"5e69d26e9452140389f5070f","choropleth","best","poverty","county_5",47187
"5e7b815adb5aba05af6e6cc7","choropleth","best","poverty","county_1",35039
"5e7b815adb5aba05af6e6cc7","choropleth","best","poverty","county_2",35007
"5e7b815adb5aba05af6e6cc7","choropleth","best","poverty","county_3",35006
"5e7b815adb5aba05af6e6cc7","choropleth","best","poverty","county_4",35031
"5e7b815adb5aba05af6e6cc7","choropleth","best","poverty","county_5",35053
"5e85efd69c5a6f1ec0d97903","choropleth","best","poverty","county_1",36103
"5e85efd69c5a6f1ec0d97903","choropleth","best","poverty","county_2",34023
"5e85efd69c5a6f1ec0d97903","choropleth","best","poverty","county_3",34005
"5e85efd69c5a6f1ec0d97903","choropleth","best","poverty","county_4",42029
"5e85efd69c5a6f1ec0d97903","choropleth","best","poverty","county_5",24003
"5f2f42ae6383513236d4e74e","choropleth","best","poverty","county_1",51059
"5f2f42ae6383513236d4e74e","choropleth","best","poverty","county_2",56029
"5f2f42ae6383513236d4e74e","choropleth","best","poverty","county_3",36091
"5f2f42ae6383513236d4e74e","choropleth","best","poverty","county_4",48085
"5f2f42ae6383513236d4e74e","choropleth","best","poverty","county_5",6081
"5f496b791798ec4d6340620d","choropleth","best","poverty","county_1",56029
"5f496b791798ec4d6340620d","choropleth","best","poverty","county_2",24027
"5f496b791798ec4d6340620d","choropleth","best","poverty","county_3",32009
"5f496b791798ec4d6340620d","choropleth","best","poverty","county_4",2261
"5f496b791798ec4d6340620d","choropleth","best","poverty","county_5",27037
"5f6bd56284bbfa14e89717d1","choropleth","best","poverty","county_1",49045
"5f6bd56284bbfa14e89717d1","choropleth","best","poverty","county_2",42091
"5f6bd56284bbfa14e89717d1","choropleth","best","poverty","county_3",42029
"5f6bd56284bbfa14e89717d1","choropleth","best","poverty","county_4",34005
"5f6bd56284bbfa14e89717d1","choropleth","best","poverty","county_5",33015
"5f872af9e3e4870ef4d67cc3","choropleth","best","poverty","county_1",49045
"5f872af9e3e4870ef4d67cc3","choropleth","best","poverty","county_2",56029
"5f872af9e3e4870ef4d67cc3","choropleth","best","poverty","county_3",53033
"5f872af9e3e4870ef4d67cc3","choropleth","best","poverty","county_4",53061
"5f872af9e3e4870ef4d67cc3","choropleth","best","poverty","county_5",48491
"601991eca575400d9ad37546","choropleth","best","poverty","county_1",20171
"601991eca575400d9ad37546","choropleth","best","poverty","county_2",51107
"601991eca575400d9ad37546","choropleth","best","poverty","county_3",30033
"601991eca575400d9ad37546","choropleth","best","poverty","county_4",8111
"601991eca575400d9ad37546","choropleth","best","poverty","county_5",24003
"605138734a871221f4849451","choropleth","best","poverty","county_1",20165
