"participant","maptype","condition","dataset","county","fips"
"5b2834ed7da9a90001a3c5e5","choropleth","worst","poverty","county_1",4001
"5b2834ed7da9a90001a3c5e5","choropleth","worst","poverty","county_2",48047
"5b2834ed7da9a90001a3c5e5","choropleth","worst","poverty","county_3",12079
"5b2834ed7da9a90001a3c5e5","choropleth","worst","poverty","county_4",28157
"5b2834ed7da9a90001a3c5e5","choropleth","worst","poverty","county_5",48507
"5b608617208f1c000100bdeb","choropleth","worst","poverty","county_1",4017
"5b608617208f1c000100bdeb","choropleth","worst","poverty","county_2",48479
"5b608617208f1c000100bdeb","choropleth","worst","poverty","county_3",28049
"5b608617208f1c000100bdeb","choropleth","worst","poverty","county_4",13175
"5b608617208f1c000100bdeb","choropleth","worst","poverty","county_5",37155
"5c77661fe626520001076b3d","choropleth","worst","poverty","county_1",21147
"5c77661fe626520001076b3d","choropleth","worst","poverty","county_2",48047
"5c77661fe626520001076b3d","choropleth","worst","poverty","county_3",46071
"5c77661fe626520001076b3d","choropleth","worst","poverty","county_4",46102
"5c77661fe626520001076b3d","choropleth","worst","poverty","county_5",46137
"5d1082d68cf933000163caa1","choropleth","worst","poverty","county_1",2050
"5d1082d68cf933000163caa1","choropleth","worst","poverty","county_2",4001
"5d1082d68cf933000163caa1","choropleth","worst","poverty","county_3",16065
"5d1082d68cf933000163caa1","choropleth","worst","poverty","county_4",35047
"5d1082d68cf933000163caa1","choropleth","worst","poverty","county_5",48229
"5d6285707d06c30019d19765","choropleth","worst","poverty","county_1",46031
"5d6285707d06c30019d19765","choropleth","worst","poverty","county_2",46121
"5d6285707d06c30019d19765","choropleth","worst","poverty","county_3",46071
"5d6285707d06c30019d19765","choropleth","worst","poverty","county_4",46102
"5d6285707d06c30019d19765","choropleth","worst","poverty","county_5",48229
"5de8734b44b3127e513ae247","choropleth","worst","poverty","county_1",45089
"5de8734b44b3127e513ae247","choropleth","worst","poverty","county_2",12107
"5de8734b44b3127e513ae247","choropleth","worst","poverty","county_3",48465
"5de8734b44b3127e513ae247","choropleth","worst","poverty","county_4",46031
"5de8734b44b3127e513ae247","choropleth","worst","poverty","county_5",49037
"5e5291ff6c3d7d2a79ec869e","choropleth","worst","poverty","county_1",46031
"5e5291ff6c3d7d2a79ec869e","choropleth","worst","poverty","county_2",28051
"5e5291ff6c3d7d2a79ec869e","choropleth","worst","poverty","county_3",1105
"5e5291ff6c3d7d2a79ec869e","choropleth","worst","poverty","county_4",35031
"5e5291ff6c3d7d2a79ec869e","choropleth","worst","poverty","county_5",48047
"5f0bcb67acb8844f8a226f2b","choropleth","worst","poverty","county_1",6025
"5f0bcb67acb8844f8a226f2b","choropleth","worst","poverty","county_2",4017
"5f0bcb67acb8844f8a226f2b","choropleth","worst","poverty","county_3",48479
"5f0bcb67acb8844f8a226f2b","choropleth","worst","poverty","county_4",41045
"5f0bcb67acb8844f8a226f2b","choropleth","worst","poverty","county_5",30005
"5f3864a4596925371d23631e","choropleth","worst","poverty","county_1",30035
"5f3864a4596925371d23631e","choropleth","worst","poverty","county_2",46102
"5f3864a4596925371d23631e","choropleth","worst","poverty","county_3",46121
"5f3864a4596925371d23631e","choropleth","worst","poverty","county_4",21051
"5f3864a4596925371d23631e","choropleth","worst","poverty","county_5",1131
"605fbc12c61d8d10250f6e51","choropleth","worst","poverty","county_1",51027
"605fbc12c61d8d10250f6e51","choropleth","worst","poverty","county_2",1025
"605fbc12c61d8d10250f6e51","choropleth","worst","poverty","county_3",28149
"605fbc12c61d8d10250f6e51","choropleth","worst","poverty","county_4",22013
"605fbc12c61d8d10250f6e51","choropleth","worst","poverty","county_5",35041
"6082364d2e1e97775624672b","choropleth","worst","poverty","county_1",6025
"6082364d2e1e97775624672b","choropleth","worst","poverty","county_2",2290
"6082364d2e1e97775624672b","choropleth","worst","poverty","county_3",2188
"6082364d2e1e97775624672b","choropleth","worst","poverty","county_4",2050
"6082364d2e1e97775624672b","choropleth","worst","poverty","county_5",35031
"6089dbf455a91a160a6505ec","choropleth","worst","poverty","county_1",6019
"6089dbf455a91a160a6505ec","choropleth","worst","poverty","county_2",46041
"6089dbf455a91a160a6505ec","choropleth","worst","poverty","county_3",38005
"6089dbf455a91a160a6505ec","choropleth","worst","poverty","county_4",26163
"6089dbf455a91a160a6505ec","choropleth","worst","poverty","county_5",46121
"60fdc5c27df92fe62a07a0c3","choropleth","worst","poverty","county_1",48489
"60fdc5c27df92fe62a07a0c3","choropleth","worst","poverty","county_2",48377
"60fdc5c27df92fe62a07a0c3","choropleth","worst","poverty","county_3",26121
"60fdc5c27df92fe62a07a0c3","choropleth","worst","poverty","county_4",42003
"60fdc5c27df92fe62a07a0c3","choropleth","worst","poverty","county_5",48085
"6100294b4c2a8174def1cc35","choropleth","worst","poverty","county_1",48317
"6100294b4c2a8174def1cc35","choropleth","worst","poverty","county_2",20095
"6100294b4c2a8174def1cc35","choropleth","worst","poverty","county_3",39103
"6100294b4c2a8174def1cc35","choropleth","worst","poverty","county_4",4017
"6100294b4c2a8174def1cc35","choropleth","worst","poverty","county_5",46137
"610b29c5da46d4a47c635560","choropleth","worst","poverty","county_1",13065
"610b29c5da46d4a47c635560","choropleth","worst","poverty","county_2",21129
"610b29c5da46d4a47c635560","choropleth","worst","poverty","county_3",28001
"610b29c5da46d4a47c635560","choropleth","worst","poverty","county_4",13059
"610b29c5da46d4a47c635560","choropleth","worst","poverty","county_5",22069
"6152baaee07bc0fe95137cac","choropleth","worst","poverty","county_1",48229
"6152baaee07bc0fe95137cac","choropleth","worst","poverty","county_2",4001
"6152baaee07bc0fe95137cac","choropleth","worst","poverty","county_3",46137
"6152baaee07bc0fe95137cac","choropleth","worst","poverty","county_4",46031
"6152baaee07bc0fe95137cac","choropleth","worst","poverty","county_5",38085
"6164cd5c4b2314b1b7dfbc88","choropleth","worst","poverty","county_1",4001
"6164cd5c4b2314b1b7dfbc88","choropleth","worst","poverty","county_2",4017
"6164cd5c4b2314b1b7dfbc88","choropleth","worst","poverty","county_3",48479
"6164cd5c4b2314b1b7dfbc88","choropleth","worst","poverty","county_4",30003
"6164cd5c4b2314b1b7dfbc88","choropleth","worst","poverty","county_5",41045
"62e029813affb61d4f49ed85","choropleth","worst","poverty","county_1",4017
"62e029813affb61d4f49ed85","choropleth","worst","poverty","county_2",48479
"62e029813affb61d4f49ed85","choropleth","worst","poverty","county_3",6019
"62e029813affb61d4f49ed85","choropleth","worst","poverty","county_4",6107
"62e029813affb61d4f49ed85","choropleth","worst","poverty","county_5",6029
"631797089a0a1ee579573eb9","choropleth","worst","poverty","county_1",2290
"631797089a0a1ee579573eb9","choropleth","worst","poverty","county_2",2188
"631797089a0a1ee579573eb9","choropleth","worst","poverty","county_3",2180
"631797089a0a1ee579573eb9","choropleth","worst","poverty","county_4",2050
"631797089a0a1ee579573eb9","choropleth","worst","poverty","county_5",6025
"638b9983a3bbe44e543fe28d","choropleth","worst","poverty","county_1",48047
"638b9983a3bbe44e543fe28d","choropleth","worst","poverty","county_2",6107
"638b9983a3bbe44e543fe28d","choropleth","worst","poverty","county_3",15001
"638b9983a3bbe44e543fe28d","choropleth","worst","poverty","county_4",6019
"638b9983a3bbe44e543fe28d","choropleth","worst","poverty","county_5",6023
"63d4061bc9ec9cf926d6c9f7","choropleth","worst","poverty","county_1",6107
"63d4061bc9ec9cf926d6c9f7","choropleth","worst","poverty","county_2",41045
"63d4061bc9ec9cf926d6c9f7","choropleth","worst","poverty","county_3",4001
"63d4061bc9ec9cf926d6c9f7","choropleth","worst","poverty","county_4",4017
