"participant","maptype","condition","dataset","county","fips"
"57a08ec3dcff7d0001c7ce99","choropleth","best","vaccine","county_1",4005
"57a08ec3dcff7d0001c7ce99","choropleth","best","vaccine","county_2",25017
"57a08ec3dcff7d0001c7ce99","choropleth","best","vaccine","county_3",12086
"57a08ec3dcff7d0001c7ce99","choropleth","best","vaccine","county_4",48479
"57a08ec3dcff7d0001c7ce99","choropleth","best","vaccine","county_5",6097
"59d6b8f103203500011ace12","choropleth","best","vaccine","county_1",4005
"59d6b8f103203500011ace12","choropleth","best","vaccine","county_2",12086
"59d6b8f103203500011ace12","choropleth","best","vaccine","county_3",30005
"59d6b8f103203500011ace12","choropleth","best","vaccine","county_4",39075
"59d6b8f103203500011ace12","choropleth","best","vaccine","county_5",40017
"5b29b956007d870001c82114","choropleth","best","vaccine","county_1",4001
"5b29b956007d870001c82114","choropleth","best","vaccine","county_2",6041
"5b29b956007d870001c82114","choropleth","best","vaccine","county_3",56039
"5b29b956007d870001c82114","choropleth","best","vaccine","county_4",6025
"5b29b956007d870001c82114","choropleth","best","vaccine","county_5",23005
"5c312101867f660001b05bf6","choropleth","best","vaccine","county_1",12086
"5c312101867f660001b05bf6","choropleth","best","vaccine","county_2",6085
"5c312101867f660001b05bf6","choropleth","best","vaccine","county_3",53033
"5c312101867f660001b05bf6","choropleth","best","vaccine","county_4",6001
"5c312101867f660001b05bf6","choropleth","best","vaccine","county_5",6013
"5cd1b38113a10a00013b9eaa","choropleth","best","vaccine","county_1",12109
"5cd1b38113a10a00013b9eaa","choropleth","best","vaccine","county_2",20091
"5cd1b38113a10a00013b9eaa","choropleth","best","vaccine","county_3",20061
"5cd1b38113a10a00013b9eaa","choropleth","best","vaccine","county_4",4005
"5cd1b38113a10a00013b9eaa","choropleth","best","vaccine","county_5",53033
"5d4a03a7278a80001a4fa9df","choropleth","best","vaccine","county_1",6025
"5d4a03a7278a80001a4fa9df","choropleth","best","vaccine","county_2",6041
"5d4a03a7278a80001a4fa9df","choropleth","best","vaccine","county_3",4001
"5d4a03a7278a80001a4fa9df","choropleth","best","vaccine","county_4",24031
"5d4a03a7278a80001a4fa9df","choropleth","best","vaccine","county_5",48479
"5e13ad514c81b2a01ae4aa9f","choropleth","best","vaccine","county_1",4005
"5e13ad514c81b2a01ae4aa9f","choropleth","best","vaccine","county_2",6025
"5e13ad514c81b2a01ae4aa9f","choropleth","best","vaccine","county_3",36041
"5e13ad514c81b2a01ae4aa9f","choropleth","best","vaccine","county_4",36081
"5e13ad514c81b2a01ae4aa9f","choropleth","best","vaccine","county_5",6041
"5e30cbc9c0bdcc0da3a7517b","choropleth","best","vaccine","county_1",4005
"5e30cbc9c0bdcc0da3a7517b","choropleth","best","vaccine","county_2",4001
"5e30cbc9c0bdcc0da3a7517b","choropleth","best","vaccine","county_3",35031
"5e30cbc9c0bdcc0da3a7517b","choropleth","best","vaccine","county_4",30003
"5e30cbc9c0bdcc0da3a7517b","choropleth","best","vaccine","county_5",48479
"5e6c0b0fede0271d08d1a3cd","choropleth","best","vaccine","county_1",9001
"5e6c0b0fede0271d08d1a3cd","choropleth","best","vaccine","county_2",39061
"5e6c0b0fede0271d08d1a3cd","choropleth","best","vaccine","county_3",29019
"5e6c0b0fede0271d08d1a3cd","choropleth","best","vaccine","county_4",18057
"5e6c0b0fede0271d08d1a3cd","choropleth","best","vaccine","county_5",47187
"5ef02a29cb94ad54375691e7","choropleth","best","vaccine","county_1",48479
"5ef02a29cb94ad54375691e7","choropleth","best","vaccine","county_2",35031
"5ef02a29cb94ad54375691e7","choropleth","best","vaccine","county_3",6025
"5ef02a29cb94ad54375691e7","choropleth","best","vaccine","county_4",48427
"5ef02a29cb94ad54375691e7","choropleth","best","vaccine","county_5",4001
"5f4ad4dade24ea6a79e7f3a5","choropleth","best","vaccine","county_1",4001
"5f4ad4dade24ea6a79e7f3a5","choropleth","best","vaccine","county_2",35031
"5f4ad4dade24ea6a79e7f3a5","choropleth","best","vaccine","county_3",48377
"5f4ad4dade24ea6a79e7f3a5","choropleth","best","vaccine","county_4",24031
"5f4ad4dade24ea6a79e7f3a5","choropleth","best","vaccine","county_5",23005
"5f6be2474140c215c8ebbe52","choropleth","best","vaccine","county_1",4005
"5f6be2474140c215c8ebbe52","choropleth","best","vaccine","county_2",35055
"5f6be2474140c215c8ebbe52","choropleth","best","vaccine","county_3",35039
"5f6be2474140c215c8ebbe52","choropleth","best","vaccine","county_4",42029
"5f6be2474140c215c8ebbe52","choropleth","best","vaccine","county_5",12119
"5f87cb31bea4ed20a90d8168","choropleth","best","vaccine","county_1",4001
"5f87cb31bea4ed20a90d8168","choropleth","best","vaccine","county_2",35031
"5f87cb31bea4ed20a90d8168","choropleth","best","vaccine","county_3",48479
"5f87cb31bea4ed20a90d8168","choropleth","best","vaccine","county_4",30003
"5f87cb31bea4ed20a90d8168","choropleth","best","vaccine","county_5",6025
"5fcbe82a12a0c80009d6e9cf","choropleth","best","vaccine","county_1",6027
"5fcbe82a12a0c80009d6e9cf","choropleth","best","vaccine","county_2",48469
"5fcbe82a12a0c80009d6e9cf","choropleth","best","vaccine","county_3",31171
"5fcbe82a12a0c80009d6e9cf","choropleth","best","vaccine","county_4",42015
"5fcbe82a12a0c80009d6e9cf","choropleth","best","vaccine","county_5",39075
"600f4361d8ad4b1021236a24","choropleth","best","vaccine","county_1",4001
"600f4361d8ad4b1021236a24","choropleth","best","vaccine","county_2",48479
"600f4361d8ad4b1021236a24","choropleth","best","vaccine","county_3",36119
"600f4361d8ad4b1021236a24","choropleth","best","vaccine","county_4",4023
"600f4361d8ad4b1021236a24","choropleth","best","vaccine","county_5",49043
"60778adf13e3a5f0d0f655db","choropleth","best","vaccine","county_1",4005
"60778adf13e3a5f0d0f655db","choropleth","best","vaccine","county_2",4017
"60778adf13e3a5f0d0f655db","choropleth","best","vaccine","county_3",12086
"60778adf13e3a5f0d0f655db","choropleth","best","vaccine","county_4",12087
"60778adf13e3a5f0d0f655db","choropleth","best","vaccine","county_5",6085
"60cf7074e1ea52a0f3450346","choropleth","best","vaccine","county_1",4005
"60cf7074e1ea52a0f3450346","choropleth","best","vaccine","county_2",4001
"60cf7074e1ea52a0f3450346","choropleth","best","vaccine","county_3",36041
