"participant","maptype","condition","dataset","county","fips"
"5d02e02a2c5da00001474340","choropleth","worst","vaccine","county_1",22023
"5d02e02a2c5da00001474340","choropleth","worst","vaccine","county_2",30033
"5d02e02a2c5da00001474340","choropleth","worst","vaccine","county_3",30055
"5d02e02a2c5da00001474340","choropleth","worst","vaccine","county_4",32011
"5d02e02a2c5da00001474340","choropleth","worst","vaccine","county_5",46063
"5ea1afbb8809ad07b7582ec0","choropleth","worst","vaccine","county_1",22023
"5ea1afbb8809ad07b7582ec0","choropleth","worst","vaccine","county_2",39075
"5ea1afbb8809ad07b7582ec0","choropleth","worst","vaccine","county_3",6035
"5ea1afbb8809ad07b7582ec0","choropleth","worst","vaccine","county_4",32011
"5ea1afbb8809ad07b7582ec0","choropleth","worst","vaccine","county_5",42105
"5f80ee4dc40e2c1a84d75137","choropleth","worst","vaccine","county_1",30033
"5f80ee4dc40e2c1a84d75137","choropleth","worst","vaccine","county_2",30055
"5f80ee4dc40e2c1a84d75137","choropleth","worst","vaccine","county_3",46063
"5f80ee4dc40e2c1a84d75137","choropleth","worst","vaccine","county_4",22023
"5f80ee4dc40e2c1a84d75137","choropleth","worst","vaccine","county_5",48301
"62e18fe5bcf56ec0915f5cb5","choropleth","worst","vaccine","county_1",31117
"62e18fe5bcf56ec0915f5cb5","choropleth","worst","vaccine","county_2",46063
"62e18fe5bcf56ec0915f5cb5","choropleth","worst","vaccine","county_3",38087
"62e18fe5bcf56ec0915f5cb5","choropleth","worst","vaccine","county_4",30055
"62e18fe5bcf56ec0915f5cb5","choropleth","worst","vaccine","county_5",30033
"63ed8b9c16f4e710f77819b8","choropleth","worst","vaccine","county_1",31117
"63ed8b9c16f4e710f77819b8","choropleth","worst","vaccine","county_2",39075
"63ed8b9c16f4e710f77819b8","choropleth","worst","vaccine","county_3",38087
"63ed8b9c16f4e710f77819b8","choropleth","worst","vaccine","county_4",30055
"63ed8b9c16f4e710f77819b8","choropleth","worst","vaccine","county_5",46063
"5726570ef2a83f000f6aea6d","choropleth","worst","vaccine","county_1",22023
"5726570ef2a83f000f6aea6d","choropleth","worst","vaccine","county_2",39169
"5726570ef2a83f000f6aea6d","choropleth","worst","vaccine","county_3",30055
"5726570ef2a83f000f6aea6d","choropleth","worst","vaccine","county_4",46063
"5726570ef2a83f000f6aea6d","choropleth","worst","vaccine","county_5",48389
"5b5c8d4e10aec90001ed4bee","choropleth","worst","vaccine","county_1",39075
"5b5c8d4e10aec90001ed4bee","choropleth","worst","vaccine","county_2",30055
"5b5c8d4e10aec90001ed4bee","choropleth","worst","vaccine","county_3",31117
"5b5c8d4e10aec90001ed4bee","choropleth","worst","vaccine","county_4",22023
"5b5c8d4e10aec90001ed4bee","choropleth","worst","vaccine","county_5",38087
"5d30cabd5124970019cb706c","choropleth","worst","vaccine","county_1",30033
"5d30cabd5124970019cb706c","choropleth","worst","vaccine","county_2",46063
"5d30cabd5124970019cb706c","choropleth","worst","vaccine","county_3",30055
"5d30cabd5124970019cb706c","choropleth","worst","vaccine","county_4",22023
"5d30cabd5124970019cb706c","choropleth","worst","vaccine","county_5",38087
"5e74406c8c8f273bafab9895","choropleth","worst","vaccine","county_1",30033
"5e74406c8c8f273bafab9895","choropleth","worst","vaccine","county_2",30055
"5e74406c8c8f273bafab9895","choropleth","worst","vaccine","county_3",22023
"5e74406c8c8f273bafab9895","choropleth","worst","vaccine","county_4",46063
"5e74406c8c8f273bafab9895","choropleth","worst","vaccine","county_5",38087
"5ed0658e8fec6c13e6e6f154","choropleth","worst","vaccine","county_1",22023
"5ed0658e8fec6c13e6e6f154","choropleth","worst","vaccine","county_2",1133
"5ed0658e8fec6c13e6e6f154","choropleth","worst","vaccine","county_3",29145
