"participant","maptype","condition","dataset","county","fips"
"55d9226c69dbc30012b68bff","surprise","best","poverty","county_1",26081
"55d9226c69dbc30012b68bff","surprise","best","poverty","county_2",1117
"55d9226c69dbc30012b68bff","surprise","best","poverty","county_3",37183
"55d9226c69dbc30012b68bff","surprise","best","poverty","county_4",41005
"55d9226c69dbc30012b68bff","surprise","best","poverty","county_5",6073
"5627279fddff3c000fbcd625","surprise","best","poverty","county_1",6073
"5627279fddff3c000fbcd625","surprise","best","poverty","county_2",36103
"5627279fddff3c000fbcd625","surprise","best","poverty","county_3",53033
"5627279fddff3c000fbcd625","surprise","best","poverty","county_4",6085
"5627279fddff3c000fbcd625","surprise","best","poverty","county_5",42003
"5ba1beaecc5dd00001673e39","surprise","best","poverty","county_1",8035
"5ba1beaecc5dd00001673e39","surprise","best","poverty","county_2",33015
"5ba1beaecc5dd00001673e39","surprise","best","poverty","county_3",18063
"5ba1beaecc5dd00001673e39","surprise","best","poverty","county_4",55133
"5ba1beaecc5dd00001673e39","surprise","best","poverty","county_5",1117
"5c8f8374e08a58000192a9ff","surprise","best","poverty","county_1",21073
"5c8f8374e08a58000192a9ff","surprise","best","poverty","county_2",21067
"5c8f8374e08a58000192a9ff","surprise","best","poverty","county_3",21211
"5c8f8374e08a58000192a9ff","surprise","best","poverty","county_4",21015
"5c8f8374e08a58000192a9ff","surprise","best","poverty","county_5",21111
"5d5d431608a4b10016285091","surprise","best","poverty","county_1",49045
"5d5d431608a4b10016285091","surprise","best","poverty","county_2",8123
"5d5d431608a4b10016285091","surprise","best","poverty","county_3",8069
"5d5d431608a4b10016285091","surprise","best","poverty","county_4",32003
"5d5d431608a4b10016285091","surprise","best","poverty","county_5",6073
"5df967d2f6191f6e87b236e6","surprise","best","poverty","county_1",48113
"5df967d2f6191f6e87b236e6","surprise","best","poverty","county_2",5069
"5df967d2f6191f6e87b236e6","surprise","best","poverty","county_3",35047
"5df967d2f6191f6e87b236e6","surprise","best","poverty","county_4",4001
"5df967d2f6191f6e87b236e6","surprise","best","poverty","county_5",4017
"5e246a245e04db6e93e22666","surprise","best","poverty","county_1",8069
"5e246a245e04db6e93e22666","surprise","best","poverty","county_2",25027
"5e246a245e04db6e93e22666","surprise","best","poverty","county_3",53033
"5e246a245e04db6e93e22666","surprise","best","poverty","county_4",2170
"5e246a245e04db6e93e22666","surprise","best","poverty","county_5",12099
"5ece0f3693c34518cb5cbef5","surprise","best","poverty","county_1",25017
"5ece0f3693c34518cb5cbef5","surprise","best","poverty","county_2",24031
"5ece0f3693c34518cb5cbef5","surprise","best","poverty","county_3",6085
"5ece0f3693c34518cb5cbef5","surprise","best","poverty","county_4",53033
"5ece0f3693c34518cb5cbef5","surprise","best","poverty","county_5",49035
"5f07adce6d89431f2b7eddf4","surprise","best","poverty","county_1",36079
"5f07adce6d89431f2b7eddf4","surprise","best","poverty","county_2",33015
"5f07adce6d89431f2b7eddf4","surprise","best","poverty","county_3",27163
"5f07adce6d89431f2b7eddf4","surprise","best","poverty","county_4",8039
"5f07adce6d89431f2b7eddf4","surprise","best","poverty","county_5",34037
"5f1681427a99fb7e7d6bbec6","surprise","best","poverty","county_1",48157
"5f1681427a99fb7e7d6bbec6","surprise","best","poverty","county_2",36103
"5f1681427a99fb7e7d6bbec6","surprise","best","poverty","county_3",8059
"5f1681427a99fb7e7d6bbec6","surprise","best","poverty","county_4",6081
"5f1681427a99fb7e7d6bbec6","surprise","best","poverty","county_5",53033
"5f3ae3fec9e0017b42c92ee0","surprise","best","poverty","county_1",33013
"5f3ae3fec9e0017b42c92ee0","surprise","best","poverty","county_2",38101
"5f3ae3fec9e0017b42c92ee0","surprise","best","poverty","county_3",48329
"5f3ae3fec9e0017b42c92ee0","surprise","best","poverty","county_4",1117
"5f3ae3fec9e0017b42c92ee0","surprise","best","poverty","county_5",12119
"5f6aacb57829231956ac4fdc","surprise","best","poverty","county_1",36103
"5f6aacb57829231956ac4fdc","surprise","best","poverty","county_2",48085
"5f6aacb57829231956ac4fdc","surprise","best","poverty","county_3",6073
"5f6aacb57829231956ac4fdc","surprise","best","poverty","county_4",32003
"5f6aacb57829231956ac4fdc","surprise","best","poverty","county_5",6075
"6007a7996fbeef04ce080f90","surprise","best","poverty","county_1",49045
"6007a7996fbeef04ce080f90","surprise","best","poverty","county_2",55109
"6007a7996fbeef04ce080f90","surprise","best","poverty","county_3",33015
"6007a7996fbeef04ce080f90","surprise","best","poverty","county_4",24025
"6007a7996fbeef04ce080f90","surprise","best","poverty","county_5",17133
"6058466a43c6819ea1d84822","surprise","best","poverty","county_1",8123
"6058466a43c6819ea1d84822","surprise","best","poverty","county_2",42029
"6058466a43c6819ea1d84822","surprise","best","poverty","county_3",23031
"6058466a43c6819ea1d84822","surprise","best","poverty","county_4",6085
"6058466a43c6819ea1d84822","surprise","best","poverty","county_5",38101
"608ae40ba23632384c8818de","surprise","best","poverty","county_1",34019
"608ae40ba23632384c8818de","surprise","best","poverty","county_2",34027
"608ae40ba23632384c8818de","surprise","best","poverty","county_3",34037
"608ae40ba23632384c8818de","surprise","best","poverty","county_4",36059
"608ae40ba23632384c8818de","surprise","best","poverty","county_5",42029
"6110b9cbbc4ab057b2cc7865","surprise","best","poverty","county_1",12011
"6110b9cbbc4ab057b2cc7865","surprise","best","poverty","county_2",25017
"6110b9cbbc4ab057b2cc7865","surprise","best","poverty","county_3",25001
"6110b9cbbc4ab057b2cc7865","surprise","best","poverty","county_4",6073
"6110b9cbbc4ab057b2cc7865","surprise","best","poverty","county_5",48157
"614aed182df1674b10a4e704","surprise","best","poverty","county_1",8123
"614aed182df1674b10a4e704","surprise","best","poverty","county_2",25027
"614aed182df1674b10a4e704","surprise","best","poverty","county_3",32003
"614aed182df1674b10a4e704","surprise","best","poverty","county_4",53033
"614aed182df1674b10a4e704","surprise","best","poverty","county_5",53061
"615ddab1e4f013092538b6c5","surprise","best","poverty","county_1",6073
"615ddab1e4f013092538b6c5","surprise","best","poverty","county_2",25017
"615ddab1e4f013092538b6c5","surprise","best","poverty","county_3",53061
"615ddab1e4f013092538b6c5","surprise","best","poverty","county_4",42091
"615ddab1e4f013092538b6c5","surprise","best","poverty","county_5",12011
"616dabffda7757926ea7e84d","surprise","best","poverty","county_1",12119
"616dabffda7757926ea7e84d","surprise","best","poverty","county_2",12009
"616dabffda7757926ea7e84d","surprise","best","poverty","county_3",12021
"616dabffda7757926ea7e84d","surprise","best","poverty","county_4",12103
"616dabffda7757926ea7e84d","surprise","best","poverty","county_5",12019
"62a0b34cbcc5987a8fa73c39","surprise","best","poverty","county_1",6055
"62a0b34cbcc5987a8fa73c39","surprise","best","poverty","county_2",6061
"62a0b34cbcc5987a8fa73c39","surprise","best","poverty","county_3",49045
"62a0b34cbcc5987a8fa73c39","surprise","best","poverty","county_4",34019
"62a0b34cbcc5987a8fa73c39","surprise","best","poverty","county_5",34035
"6337b9604370dd57643b81a0","surprise","best","poverty","county_1",49045
"6337b9604370dd57643b81a0","surprise","best","poverty","county_2",6073
"6337b9604370dd57643b81a0","surprise","best","poverty","county_3",6041
"6337b9604370dd57643b81a0","surprise","best","poverty","county_4",53033
"6337b9604370dd57643b81a0","surprise","best","poverty","county_5",53061
"6362406ab7caf5fc96bb61c8","surprise","best","poverty","county_1",48121
"6362406ab7caf5fc96bb61c8","surprise","best","poverty","county_2",49045
"6362406ab7caf5fc96bb61c8","surprise","best","poverty","county_3",53033
"6362406ab7caf5fc96bb61c8","surprise","best","poverty","county_4",32003
"6362406ab7caf5fc96bb61c8","surprise","best","poverty","county_5",6073
"6393e67356641293bb8cdd0c","surprise","best","poverty","county_1",8081
"6393e67356641293bb8cdd0c","surprise","best","poverty","county_2",51113
"6393e67356641293bb8cdd0c","surprise","best","poverty","county_3",37125
"6393e67356641293bb8cdd0c","surprise","best","poverty","county_4",34009
"6393e67356641293bb8cdd0c","surprise","best","poverty","county_5",45045
"6404fb7b9a7b3cfb4179d185","surprise","best","poverty","county_1",6081
"6404fb7b9a7b3cfb4179d185","surprise","best","poverty","county_2",48491
"6404fb7b9a7b3cfb4179d185","surprise","best","poverty","county_3",12115
"6404fb7b9a7b3cfb4179d185","surprise","best","poverty","county_4",34037
"6404fb7b9a7b3cfb4179d185","surprise","best","poverty","county_5",36079
"6445af97679d97a6911943d4","surprise","best","poverty","county_1",8123
"6445af97679d97a6911943d4","surprise","best","poverty","county_2",8069
"6445af97679d97a6911943d4","surprise","best","poverty","county_3",49045
"6445af97679d97a6911943d4","surprise","best","poverty","county_4",36027
"6445af97679d97a6911943d4","surprise","best","poverty","county_5",12099
