"participant","maptype","condition","dataset","county","fips"
"558965bffdf99b74158d77dd","surprise","worst","poverty","county_1",19169
"558965bffdf99b74158d77dd","surprise","worst","poverty","county_2",26065
"558965bffdf99b74158d77dd","surprise","worst","poverty","county_3",24510
"558965bffdf99b74158d77dd","surprise","worst","poverty","county_4",36005
"558965bffdf99b74158d77dd","surprise","worst","poverty","county_5",1117
"5ac9d112436f5500010007a5","surprise","worst","poverty","county_1",4017
"5ac9d112436f5500010007a5","surprise","worst","poverty","county_2",48479
"5ac9d112436f5500010007a5","surprise","worst","poverty","county_3",28015
"5ac9d112436f5500010007a5","surprise","worst","poverty","county_4",17019
"5ac9d112436f5500010007a5","surprise","worst","poverty","county_5",46102
"5b690c1840003400016fdb4b","surprise","worst","poverty","county_1",47113
"5b690c1840003400016fdb4b","surprise","worst","poverty","county_2",47157
"5b690c1840003400016fdb4b","surprise","worst","poverty","county_3",4013
"5b690c1840003400016fdb4b","surprise","worst","poverty","county_4",47149
"5b690c1840003400016fdb4b","surprise","worst","poverty","county_5",47077
"5c2e190fa3e23b00017a3dff","surprise","worst","poverty","county_1",48505
"5c2e190fa3e23b00017a3dff","surprise","worst","poverty","county_2",12086
"5c2e190fa3e23b00017a3dff","surprise","worst","poverty","county_3",4017
"5c2e190fa3e23b00017a3dff","surprise","worst","poverty","county_4",4005
"5c2e190fa3e23b00017a3dff","surprise","worst","poverty","county_5",6029
"5d751c07515c8b0017ed08fc","surprise","worst","poverty","county_1",40119
"5d751c07515c8b0017ed08fc","surprise","worst","poverty","county_2",5093
"5d751c07515c8b0017ed08fc","surprise","worst","poverty","county_3",35039
"5d751c07515c8b0017ed08fc","surprise","worst","poverty","county_4",46102
"5d751c07515c8b0017ed08fc","surprise","worst","poverty","county_5",46121
"5df02b4e9800ec094e120d26","surprise","worst","poverty","county_1",6037
"5df02b4e9800ec094e120d26","surprise","worst","poverty","county_2",4019
"5df02b4e9800ec094e120d26","surprise","worst","poverty","county_3",12086
"5df02b4e9800ec094e120d26","surprise","worst","poverty","county_4",48323
"5df02b4e9800ec094e120d26","surprise","worst","poverty","county_5",46102
"5ea3c3f4c8a6d41d78e8f96c","surprise","worst","poverty","county_1",4005
"5ea3c3f4c8a6d41d78e8f96c","surprise","worst","poverty","county_2",35029
"5ea3c3f4c8a6d41d78e8f96c","surprise","worst","poverty","county_3",48427
"5ea3c3f4c8a6d41d78e8f96c","surprise","worst","poverty","county_4",30035
"5ea3c3f4c8a6d41d78e8f96c","surprise","worst","poverty","county_5",38079
"5ec21a32769446521c747ddd","surprise","worst","poverty","county_1",45089
"5ec21a32769446521c747ddd","surprise","worst","poverty","county_2",37061
"5ec21a32769446521c747ddd","surprise","worst","poverty","county_3",37051
"5ec21a32769446521c747ddd","surprise","worst","poverty","county_4",4005
"5ec21a32769446521c747ddd","surprise","worst","poverty","county_5",6071
"5edfd3858bc1712e249b053d","surprise","worst","poverty","county_1",46031
"5edfd3858bc1712e249b053d","surprise","worst","poverty","county_2",46121
"5edfd3858bc1712e249b053d","surprise","worst","poverty","county_3",46102
"5edfd3858bc1712e249b053d","surprise","worst","poverty","county_4",35031
