"participant","maptype","condition","dataset","county","fips"
"57f3b6bfa1100100016d1454","surprise","best","vaccine","county_1",6041
"57f3b6bfa1100100016d1454","surprise","best","vaccine","county_2",6025
"57f3b6bfa1100100016d1454","surprise","best","vaccine","county_3",48479
"57f3b6bfa1100100016d1454","surprise","best","vaccine","county_4",23005
"57f3b6bfa1100100016d1454","surprise","best","vaccine","county_5",35031
"59c65eb83306be000195bb01","surprise","best","vaccine","county_1",6085
"59c65eb83306be000195bb01","surprise","best","vaccine","county_2",6073
"59c65eb83306be000195bb01","surprise","best","vaccine","county_3",6037
"59c65eb83306be000195bb01","surprise","best","vaccine","county_4",12086
"59c65eb83306be000195bb01","surprise","best","vaccine","county_5",17031
"5b7723d0338a930001545ad2","surprise","best","vaccine","county_1",16021
"5b7723d0338a930001545ad2","surprise","best","vaccine","county_2",4001
"5b7723d0338a930001545ad2","surprise","best","vaccine","county_3",25017
"5b7723d0338a930001545ad2","surprise","best","vaccine","county_4",36119
"5b7723d0338a930001545ad2","surprise","best","vaccine","county_5",9001
"5c690f6f81d8da000100c78b","surprise","best","vaccine","county_1",6025
"5c690f6f81d8da000100c78b","surprise","best","vaccine","county_2",12086
"5c690f6f81d8da000100c78b","surprise","best","vaccine","county_3",48427
"5c690f6f81d8da000100c78b","surprise","best","vaccine","county_4",48479
"5c690f6f81d8da000100c78b","surprise","best","vaccine","county_5",48323
"5d6ac7e17658a1001a8c63b2","surprise","best","vaccine","county_1",36119
"5d6ac7e17658a1001a8c63b2","surprise","best","vaccine","county_2",12119
"5d6ac7e17658a1001a8c63b2","surprise","best","vaccine","county_3",4023
"5d6ac7e17658a1001a8c63b2","surprise","best","vaccine","county_4",4001
"5d6ac7e17658a1001a8c63b2","surprise","best","vaccine","county_5",6081
"5f303f0418d834478a4b3554","surprise","best","vaccine","county_1",36081
"5f303f0418d834478a4b3554","surprise","best","vaccine","county_2",9009
"5f303f0418d834478a4b3554","surprise","best","vaccine","county_3",25017
"5f303f0418d834478a4b3554","surprise","best","vaccine","county_4",6037
"5f303f0418d834478a4b3554","surprise","best","vaccine","county_5",53033
"5f3810bc8049e40ad7b6909a","surprise","best","vaccine","county_1",42091
"5f3810bc8049e40ad7b6909a","surprise","best","vaccine","county_2",36119
"5f3810bc8049e40ad7b6909a","surprise","best","vaccine","county_3",12099
"5f3810bc8049e40ad7b6909a","surprise","best","vaccine","county_4",12086
"5f3810bc8049e40ad7b6909a","surprise","best","vaccine","county_5",6067
"604c6880da3527ea3b89643f","surprise","best","vaccine","county_1",37183
"604c6880da3527ea3b89643f","surprise","best","vaccine","county_2",4005
"604c6880da3527ea3b89643f","surprise","best","vaccine","county_3",4019
"604c6880da3527ea3b89643f","surprise","best","vaccine","county_4",8069
"604c6880da3527ea3b89643f","surprise","best","vaccine","county_5",48479
"60fe3ebe79bcffa30c2aef75","surprise","best","vaccine","county_1",4001
"60fe3ebe79bcffa30c2aef75","surprise","best","vaccine","county_2",24031
"60fe3ebe79bcffa30c2aef75","surprise","best","vaccine","county_3",49043
