"participant","maptype","condition","dataset","county","fips"
"565bbc1ec121fe0012fc3782","surprise","worst","vaccine","county_1",4015
"565bbc1ec121fe0012fc3782","surprise","worst","vaccine","county_2",56005
"565bbc1ec121fe0012fc3782","surprise","worst","vaccine","county_3",48165
"565bbc1ec121fe0012fc3782","surprise","worst","vaccine","county_4",48329
"565bbc1ec121fe0012fc3782","surprise","worst","vaccine","county_5",48135
"58ae9a337cf56d0001f93242","surprise","worst","vaccine","county_1",1125
"58ae9a337cf56d0001f93242","surprise","worst","vaccine","county_2",29021
"58ae9a337cf56d0001f93242","surprise","worst","vaccine","county_3",51760
"58ae9a337cf56d0001f93242","surprise","worst","vaccine","county_4",45083
"58ae9a337cf56d0001f93242","surprise","worst","vaccine","county_5",1117
"595d516e2da9c90001d7d200","surprise","worst","vaccine","county_1",48037
"595d516e2da9c90001d7d200","surprise","worst","vaccine","county_2",4015
"595d516e2da9c90001d7d200","surprise","worst","vaccine","county_3",39075
"595d516e2da9c90001d7d200","surprise","worst","vaccine","county_4",1125
"595d516e2da9c90001d7d200","surprise","worst","vaccine","county_5",56005
"5c4f6da82090bd0001c43548","surprise","worst","vaccine","county_1",4015
"5c4f6da82090bd0001c43548","surprise","worst","vaccine","county_2",56005
"5c4f6da82090bd0001c43548","surprise","worst","vaccine","county_3",45083
"5c4f6da82090bd0001c43548","surprise","worst","vaccine","county_4",48165
"5c4f6da82090bd0001c43548","surprise","worst","vaccine","county_5",1125
"5dac4dad5e53cc001499f1f6","surprise","worst","vaccine","county_1",35039
"5dac4dad5e53cc001499f1f6","surprise","worst","vaccine","county_2",48389
"5dac4dad5e53cc001499f1f6","surprise","worst","vaccine","county_3",35031
"5dac4dad5e53cc001499f1f6","surprise","worst","vaccine","county_4",8111
"5dac4dad5e53cc001499f1f6","surprise","worst","vaccine","county_5",36059
"5e10d288a2c6967a2c655aad","surprise","worst","vaccine","county_1",22063
"5e10d288a2c6967a2c655aad","surprise","worst","vaccine","county_2",1117
"5e10d288a2c6967a2c655aad","surprise","worst","vaccine","county_3",18039
"5e10d288a2c6967a2c655aad","surprise","worst","vaccine","county_4",29021
"5e10d288a2c6967a2c655aad","surprise","worst","vaccine","county_5",21227
"5e6ca4b9a2b73d25c187ae61","surprise","worst","vaccine","county_1",35053
"5e6ca4b9a2b73d25c187ae61","surprise","worst","vaccine","county_2",8077
"5e6ca4b9a2b73d25c187ae61","surprise","worst","vaccine","county_3",41035
"5e6ca4b9a2b73d25c187ae61","surprise","worst","vaccine","county_4",32007
"5e6ca4b9a2b73d25c187ae61","surprise","worst","vaccine","county_5",56027
"5e6d43ffd5d24630bd0bf726","surprise","worst","vaccine","county_1",18087
"5e6d43ffd5d24630bd0bf726","surprise","worst","vaccine","county_2",39075
"5e6d43ffd5d24630bd0bf726","surprise","worst","vaccine","county_3",1133
"5e6d43ffd5d24630bd0bf726","surprise","worst","vaccine","county_4",13183
"5e6d43ffd5d24630bd0bf726","surprise","worst","vaccine","county_5",1117
"5e74f3d6d2c71504ac353017","surprise","worst","vaccine","county_1",4015
"5e74f3d6d2c71504ac353017","surprise","worst","vaccine","county_2",38105
"5e74f3d6d2c71504ac353017","surprise","worst","vaccine","county_3",1125
"5e74f3d6d2c71504ac353017","surprise","worst","vaccine","county_4",45083
"5e74f3d6d2c71504ac353017","surprise","worst","vaccine","county_5",45007
"5eb3d066d0e0231abd2cedc0","surprise","worst","vaccine","county_1",16037
"5eb3d066d0e0231abd2cedc0","surprise","worst","vaccine","county_2",48165
"5eb3d066d0e0231abd2cedc0","surprise","worst","vaccine","county_3",4015
"5eb3d066d0e0231abd2cedc0","surprise","worst","vaccine","county_4",30021
"5eb3d066d0e0231abd2cedc0","surprise","worst","vaccine","county_5",56005
"5ecebd4c522514107a24b0ce","surprise","worst","vaccine","county_1",4015
"5ecebd4c522514107a24b0ce","surprise","worst","vaccine","county_2",56005
"5ecebd4c522514107a24b0ce","surprise","worst","vaccine","county_3",1125
"5ecebd4c522514107a24b0ce","surprise","worst","vaccine","county_4",22019
"5ecebd4c522514107a24b0ce","surprise","worst","vaccine","county_5",48037
"60fe0bbd35622d285b7125d8","surprise","worst","vaccine","county_1",6073
"60fe0bbd35622d285b7125d8","surprise","worst","vaccine","county_2",29157
"60fe0bbd35622d285b7125d8","surprise","worst","vaccine","county_3",30001
"60fe0bbd35622d285b7125d8","surprise","worst","vaccine","county_4",38027
"60fe0bbd35622d285b7125d8","surprise","worst","vaccine","county_5",47045
"61008174621af4fde89d5c7f","surprise","worst","vaccine","county_1",39075
"61008174621af4fde89d5c7f","surprise","worst","vaccine","county_2",18087
"61008174621af4fde89d5c7f","surprise","worst","vaccine","county_3",29145
"61008174621af4fde89d5c7f","surprise","worst","vaccine","county_4",1117
"61008174621af4fde89d5c7f","surprise","worst","vaccine","county_5",45007
"6104c21cf7b22a3004e6f45c","surprise","worst","vaccine","county_1",29091
"6104c21cf7b22a3004e6f45c","surprise","worst","vaccine","county_2",13063
"6104c21cf7b22a3004e6f45c","surprise","worst","vaccine","county_3",4015
"6104c21cf7b22a3004e6f45c","surprise","worst","vaccine","county_4",56005
"6104c21cf7b22a3004e6f45c","surprise","worst","vaccine","county_5",38105
"610947778086055d9c5a95df","surprise","worst","vaccine","county_1",4015
"610947778086055d9c5a95df","surprise","worst","vaccine","county_2",56005
"610947778086055d9c5a95df","surprise","worst","vaccine","county_3",22019
"610947778086055d9c5a95df","surprise","worst","vaccine","county_4",1009
"610947778086055d9c5a95df","surprise","worst","vaccine","county_5",45083
"6109ea914ed16dd53a280765","surprise","worst","vaccine","county_1",30069
"6109ea914ed16dd53a280765","surprise","worst","vaccine","county_2",30033
"6109ea914ed16dd53a280765","surprise","worst","vaccine","county_3",30075
"6109ea914ed16dd53a280765","surprise","worst","vaccine","county_4",46063
"6109ea914ed16dd53a280765","surprise","worst","vaccine","county_5",1133
"612bfa26437162073ed2077b","surprise","worst","vaccine","county_1",12105
"612bfa26437162073ed2077b","surprise","worst","vaccine","county_2",47119
"612bfa26437162073ed2077b","surprise","worst","vaccine","county_3",37163
"612bfa26437162073ed2077b","surprise","worst","vaccine","county_4",24003
"612bfa26437162073ed2077b","surprise","worst","vaccine","county_5",28089
"6131801c70f5f49c3bdf7010","surprise","worst","vaccine","county_1",49027
"6131801c70f5f49c3bdf7010","surprise","worst","vaccine","county_2",48435
"6131801c70f5f49c3bdf7010","surprise","worst","vaccine","county_3",47159
"6131801c70f5f49c3bdf7010","surprise","worst","vaccine","county_4",35015
"6131801c70f5f49c3bdf7010","surprise","worst","vaccine","county_5",4011
"617612aa86abe09e0c69b7f2","surprise","worst","vaccine","county_1",18087
"617612aa86abe09e0c69b7f2","surprise","worst","vaccine","county_2",48165
"617612aa86abe09e0c69b7f2","surprise","worst","vaccine","county_3",4015
"617612aa86abe09e0c69b7f2","surprise","worst","vaccine","county_4",1133
"617612aa86abe09e0c69b7f2","surprise","worst","vaccine","county_5",39075
"6294d82bb0175e9e889710a9","surprise","worst","vaccine","county_1",47051
"6294d82bb0175e9e889710a9","surprise","worst","vaccine","county_2",28097
"6294d82bb0175e9e889710a9","surprise","worst","vaccine","county_3",46019
"6294d82bb0175e9e889710a9","surprise","worst","vaccine","county_4",48381
"6294d82bb0175e9e889710a9","surprise","worst","vaccine","county_5",8057
"62e42aaad0079d2ff8e97597","surprise","worst","vaccine","county_1",4015
"62e42aaad0079d2ff8e97597","surprise","worst","vaccine","county_2",56005
"62e42aaad0079d2ff8e97597","surprise","worst","vaccine","county_3",38105
"62e42aaad0079d2ff8e97597","surprise","worst","vaccine","county_4",1125
"62e42aaad0079d2ff8e97597","surprise","worst","vaccine","county_5",48165
"63ede400ea283f02067dadad","surprise","worst","vaccine","county_1",56005
"63ede400ea283f02067dadad","surprise","worst","vaccine","county_2",4015
"63ede400ea283f02067dadad","surprise","worst","vaccine","county_3",29091
"63ede400ea283f02067dadad","surprise","worst","vaccine","county_4",48165
"63ede400ea283f02067dadad","surprise","worst","vaccine","county_5",38105
"63eeef6ad507a342b1b4e171","surprise","worst","vaccine","county_1",1133
"63eeef6ad507a342b1b4e171","surprise","worst","vaccine","county_2",13183
"63eeef6ad507a342b1b4e171","surprise","worst","vaccine","county_3",39075
"63eeef6ad507a342b1b4e171","surprise","worst","vaccine","county_4",18087
"63eeef6ad507a342b1b4e171","surprise","worst","vaccine","county_5",29145
"640415971520c41606ca4389","surprise","worst","vaccine","county_1",45045
"640415971520c41606ca4389","surprise","worst","vaccine","county_2",45007
"640415971520c41606ca4389","surprise","worst","vaccine","county_3",4015
"640415971520c41606ca4389","surprise","worst","vaccine","county_4",1125
"640415971520c41606ca4389","surprise","worst","vaccine","county_5",1117
"6429d2a209001f0ed092be98","surprise","worst","vaccine","county_1",1133
"6429d2a209001f0ed092be98","surprise","worst","vaccine","county_2",1083
"6429d2a209001f0ed092be98","surprise","worst","vaccine","county_3",21047
"6429d2a209001f0ed092be98","surprise","worst","vaccine","county_4",21227
"6429d2a209001f0ed092be98","surprise","worst","vaccine","county_5",29091
