"participant","county","fips"
"5b64cf6dae3bd50001a2b142","county_1",4005
"5b64cf6dae3bd50001a2b142","county_2",24031
"5b64cf6dae3bd50001a2b142","county_3",16013
"5b64cf6dae3bd50001a2b142","county_4",56039
"5b64cf6dae3bd50001a2b142","county_5",30087
"5e6bba5459a3bd17473d4d6a","county_1",4005
"5e6bba5459a3bd17473d4d6a","county_2",4017
"5e6bba5459a3bd17473d4d6a","county_3",4001
"5e6bba5459a3bd17473d4d6a","county_4",35031
"5e6bba5459a3bd17473d4d6a","county_5",30087
"5ea89fec16db5330d387423e","county_1",6025
"5ea89fec16db5330d387423e","county_2",6085
"5ea89fec16db5330d387423e","county_3",17097
"5ea89fec16db5330d387423e","county_4",12086
"5ea89fec16db5330d387423e","county_5",24031
"5fce87101036290e0bec1bc0","county_1",30035
"5fce87101036290e0bec1bc0","county_2",55007
"5fce87101036290e0bec1bc0","county_3",4005
"5fce87101036290e0bec1bc0","county_4",23005
"5fce87101036290e0bec1bc0","county_5",9011
"60a075bcc900389813dd06b0","county_1",56039
"60a075bcc900389813dd06b0","county_2",30003
"60a075bcc900389813dd06b0","county_3",4023
"60a075bcc900389813dd06b0","county_4",6025
"60a075bcc900389813dd06b0","county_5",6085
"60c50f3ccf2eebcf270b9488","county_1",23005
"60c50f3ccf2eebcf270b9488","county_2",22023
"60c50f3ccf2eebcf270b9488","county_3",31175
"60c50f3ccf2eebcf270b9488","county_4",1089
"60c50f3ccf2eebcf270b9488","county_5",51091
"60d7922fc3809c404939251c","county_1",4005
"60d7922fc3809c404939251c","county_2",4017
"60d7922fc3809c404939251c","county_3",4001
"60d7922fc3809c404939251c","county_4",35039
"60d7922fc3809c404939251c","county_5",30003
"60de09e53c9f27c2d82ceb2b","county_1",4005
"60de09e53c9f27c2d82ceb2b","county_2",4017
"60de09e53c9f27c2d82ceb2b","county_3",4001
"60de09e53c9f27c2d82ceb2b","county_4",35031
"60de09e53c9f27c2d82ceb2b","county_5",35039
"60fcd2c0ef92b8427c66e83a","county_1",4001
"60fcd2c0ef92b8427c66e83a","county_2",12086
"60fcd2c0ef92b8427c66e83a","county_3",35031
"60fcd2c0ef92b8427c66e83a","county_4",24031
"60fcd2c0ef92b8427c66e83a","county_5",30003
"614d673e3a5fd5cb2b5b6eb7","county_1",12086
"614d673e3a5fd5cb2b5b6eb7","county_2",6085
"614d673e3a5fd5cb2b5b6eb7","county_3",53033
"614d673e3a5fd5cb2b5b6eb7","county_4",24031
"614d673e3a5fd5cb2b5b6eb7","county_5",36081
"6276c45b511cf61747c77f7b","county_1",4001
"6276c45b511cf61747c77f7b","county_2",56039
"6276c45b511cf61747c77f7b","county_3",23005
"6276c45b511cf61747c77f7b","county_4",48427
"6276c45b511cf61747c77f7b","county_5",48323
"62ad5a6ad26d2fcf250d3839","county_1",35031
"62ad5a6ad26d2fcf250d3839","county_2",4001
"62ad5a6ad26d2fcf250d3839","county_3",4017
"62ad5a6ad26d2fcf250d3839","county_4",30003
"62ad5a6ad26d2fcf250d3839","county_5",30087
"62cf8b6eac8db5ea98343fbe","county_1",4005
"62cf8b6eac8db5ea98343fbe","county_2",4017
"62cf8b6eac8db5ea98343fbe","county_3",35031
"62cf8b6eac8db5ea98343fbe","county_4",56029
"62cf8b6eac8db5ea98343fbe","county_5",48377
