State,County,fips,Rate,Surprise,Duration,participant
Washington,Skamania County,53059,0.867,0.001415032,335,choropleth-58c72acd444ade00010234d8
Oregon,Wasco County,41065,0.863,0.001798254,850,choropleth-58c72acd444ade00010234d8
Idaho,Bonneville County,16019,0.881,0.006680546,2525,choropleth-58c72acd444ade00010234d8
Wyoming,Lincoln County,56023,0.907,0.004492928,662,choropleth-58c72acd444ade00010234d8
Utah,Duchesne County,49013,0.873,0.002251746,448,choropleth-58c72acd444ade00010234d8
Utah,Uintah County,49047,0.884,0.003979785,470,choropleth-58c72acd444ade00010234d8
Utah,Grand County,49019,0.873,0.001565784,297,choropleth-58c72acd444ade00010234d8
Arizona,Yavapai County,4025,0.853,0.002960376,134,choropleth-58c72acd444ade00010234d8
Arizona,Pinal County,4021,0.845,0.001519952,252,choropleth-58c72acd444ade00010234d8
Arizona,Maricopa County,4013,0.843,0.002790204,3018,choropleth-58c72acd444ade00010234d8
Arizona,Pinal County,4021,0.845,0.001519952,567,choropleth-58c72acd444ade00010234d8
California,San Diego County,6073,0.867,0.023381797,285,choropleth-58c72acd444ade00010234d8
California,Orange County,6059,0.879,0.032861133,3944,choropleth-58c72acd444ade00010234d8
Arizona,Pima County,4019,0.817,-0.011333693,151,choropleth-58c72acd444ade00010234d8
Arizona,Pinal County,4021,0.845,0.001519952,166,choropleth-58c72acd444ade00010234d8
Arizona,Maricopa County,4013,0.843,0.002790204,1736,choropleth-58c72acd444ade00010234d8
Arizona,Pima County,4019,0.817,-0.011333693,234,choropleth-58c72acd444ade00010234d8
Arizona,Pinal County,4021,0.845,0.001519952,419,choropleth-58c72acd444ade00010234d8
Arizona,Coconino County,4005,0.79,-0.009106712,257,choropleth-58c72acd444ade00010234d8
New Hampshire,Sullivan County,33019,0.906,0.006607877,157,choropleth-58c72acd444ade00010234d8
New York,Columbia County,36021,0.886,0.005458808,124,choropleth-58c72acd444ade00010234d8
New York,Ulster County,36111,0.868,0.0056977,125,choropleth-58c72acd444ade00010234d8
Texas,Hemphill County,48211,0.912,0.002210706,175,choropleth-58c72acd444ade00010234d8
Kansas,Harper County,20077,0.832,-0.000299173,667,choropleth-58c72acd444ade00010234d8
Kansas,Ellis County,20051,0.833,-0.000595306,144,choropleth-58c72acd444ade00010234d8
Colorado,Lincoln County,8073,0.86,0.000715646,335,choropleth-58c72acd444ade00010234d8
New Mexico,Grant County,35017,0.78,-0.004857401,2307,choropleth-58c72acd444ade00010234d8
Arizona,Pima County,4019,0.817,-0.011333693,133,choropleth-58c72acd444ade00010234d8
Arizona,Pinal County,4021,0.845,0.001519952,150,choropleth-58c72acd444ade00010234d8
Arizona,Maricopa County,4013,0.843,0.002790204,166,choropleth-58c72acd444ade00010234d8
Arizona,Yavapai County,4025,0.853,0.002960376,120,choropleth-58c72acd444ade00010234d8
Arizona,Maricopa County,4013,0.843,0.002790204,665,choropleth-58c72acd444ade00010234d8
California,Riverside County,6065,0.844,0.002848366,337,choropleth-58c72acd444ade00010234d8
California,Orange County,6059,0.879,0.032861133,2551,choropleth-58c72acd444ade00010234d8
Nebraska,Deuel County,31049,0.889,0.001028467,220,choropleth-58c72acd444ade00010234d8
Nebraska,Perkins County,31135,0.952,0.002922753,767,choropleth-58c72acd444ade00010234d8
Oklahoma,Pittsburg County,40121,0.829,-0.001147083,506,choropleth-58c72acd444ade00010234d8
Wyoming,Sublette County,56035,0.926,0.00411723,143,choropleth-58c72acd444ade00010234d8
Wyoming,Park County,56029,0.93,0.007467699,2863,choropleth-58c72acd444ade00010234d8
Texas,Jeff Davis County,48243,0.933,0.002151058,678,choropleth-58c72acd444ade00010234d8
California,Tuolumne County,6109,0.864,0.002687413,127,choropleth-58c72acd444ade00010234d8
California,San Mateo County,6081,0.927,0.036070009,134,choropleth-58c72acd444ade00010234d8
California,Alameda County,6001,0.887,0.02871694,370,choropleth-58c72acd444ade00010234d8
California,San Mateo County,6081,0.927,0.036070009,3655,choropleth-58c72acd444ade00010234d8
Colorado,Chaffee County,8015,0.904,0.00433289,147,choropleth-58c72acd444ade00010234d8
Colorado,Park County,8093,0.934,0.006076133,2926,choropleth-58c72acd444ade00010234d8
Colorado,Costilla County,8023,0.704,-0.004059627,190,choropleth-58c72acd444ade00010234d8
