State,County,Fips,Rate,Surprise,Duration,Participant
NM,De Baca County,35011,0.513,-0.012967512704666785,178,choropleth-5b64cf6dae3bd50001a2b142
NM,San Miguel County,35047,0.6920000000000001,0.41703801681455255,829,choropleth-5b64cf6dae3bd50001a2b142
TX,Randall County,48381,0.47,-0.3674539071017245,227,choropleth-5b64cf6dae3bd50001a2b142
TX,Oldham County,48359,0.345,-0.1368350747338029,451,choropleth-5b64cf6dae3bd50001a2b142
OK,Kay County,40071,0.444,-0.2927780285852877,147,choropleth-5b64cf6dae3bd50001a2b142
KS,Montgomery County,20125,0.47100000000000003,-0.17418470631505162,191,choropleth-5b64cf6dae3bd50001a2b142
OK,Rogers County,40131,0.48200000000000004,-0.24360523192597552,145,choropleth-5b64cf6dae3bd50001a2b142
OK,Woodward County,40153,0.389,-0.32333207862566776,170,choropleth-5b64cf6dae3bd50001a2b142
OK,Custer County,40039,0.49700000000000005,-0.09606693047168857,963,choropleth-5b64cf6dae3bd50001a2b142
OK,Dewey County,40043,0.258,-0.3043115866036902,405,choropleth-5b64cf6dae3bd50001a2b142
NM,Lea County,35025,0.45299999999999996,-0.3358751388871228,222,choropleth-5b64cf6dae3bd50001a2b142
TX,Gaines County,48165,0.221,-0.7206542695251202,2840,choropleth-5b64cf6dae3bd50001a2b142
CO,Las Animas County,8071,0.628,0.18253903152351952,155,choropleth-5b64cf6dae3bd50001a2b142
CO,Cheyenne County,8017,0.342,-0.12945576245894347,141,choropleth-5b64cf6dae3bd50001a2b142
NE,McPherson County,31117,0.14800000000000002,-0.13570729775798426,2549,choropleth-5b64cf6dae3bd50001a2b142
NE,McPherson County,31117,0.14800000000000002,-0.13570729775798426,1735,choropleth-5b64cf6dae3bd50001a2b142
ME,Waldo County,23027,0.735,0.6373732330568986,232,choropleth-5b64cf6dae3bd50001a2b142
ME,Hancock County,23009,0.795,0.9686709107928096,295,choropleth-5b64cf6dae3bd50001a2b142
ME,Washington County,23029,0.748,0.6031434889166178,1778,choropleth-5b64cf6dae3bd50001a2b142
AZ,Apache County,4001,0.95,1.7460433431494484,187,choropleth-5b64cf6dae3bd50001a2b142
AZ,Coconino County,4005,0.8,1.5834475233116283,2388,choropleth-5b64cf6dae3bd50001a2b142
AZ,Coconino County,4005,0.8,1.5834475233116283,383,choropleth-5b64cf6dae3bd50001a2b142
AZ,Coconino County,4005,0.8,1.5834475233116283,518,choropleth-5b64cf6dae3bd50001a2b142
AZ,Coconino County,4005,0.8,1.5834475233116283,1027,choropleth-5b64cf6dae3bd50001a2b142
AZ,Navajo County,4017,0.8079999999999999,1.4363523984361974,189,choropleth-5b64cf6dae3bd50001a2b142
AZ,Apache County,4001,0.95,1.7460433431494484,198,choropleth-5b64cf6dae3bd50001a2b142
AZ,Coconino County,4005,0.8,1.5834475233116283,1632,choropleth-5b64cf6dae3bd50001a2b142
TX,Borden County,48033,0.31,-0.09040109846315424,154,choropleth-5b64cf6dae3bd50001a2b142
TX,Dawson County,48115,0.34,-0.3441207191625021,127,choropleth-5b64cf6dae3bd50001a2b142
TX,Washington County,48477,0.507,-0.07677728205446732,134,choropleth-5b64cf6dae3bd50001a2b142
TX,Travis County,48453,0.7090000000000001,3.05769207327524,188,choropleth-5b64cf6dae3bd50001a2b142
AZ,Apache County,4001,0.95,1.7460433431494484,238,choropleth-5b64cf6dae3bd50001a2b142
AZ,Coconino County,4005,0.8,1.5834475233116283,346,choropleth-5b64cf6dae3bd50001a2b142
AZ,Mohave County,4015,0.429,-0.7521431050576992,298,choropleth-5b64cf6dae3bd50001a2b142
AZ,Coconino County,4005,0.8,1.5834475233116283,886,choropleth-5b64cf6dae3bd50001a2b142
NM,Cibola County,35006,0.737,0.5281412120477975,150,choropleth-5b64cf6dae3bd50001a2b142
OK,Pottawatomie County,40125,0.513,-0.08351250560414529,197,choropleth-5b64cf6dae3bd50001a2b142
OK,Delaware County,40041,0.435,-0.3204892921135579,262,choropleth-5b64cf6dae3bd50001a2b142
OK,Rogers County,40131,0.48200000000000004,-0.24360523192597552,263,choropleth-5b64cf6dae3bd50001a2b142
TX,Panola County,48365,0.377,-0.3751283224531114,145,choropleth-5b64cf6dae3bd50001a2b142
TX,Frio County,48163,0.691,0.35779339897797546,218,choropleth-5b64cf6dae3bd50001a2b142
