"participant","county","fips"
"5ab550836db3e700011be9fc","county_1",51019
"5ab550836db3e700011be9fc","county_2",32003
"5ab550836db3e700011be9fc","county_3",48039
"5ab550836db3e700011be9fc","county_4",54079
"5ab550836db3e700011be9fc","county_5",55025
"5d05417d1a34960016e7457a","county_1",29165
"5d05417d1a34960016e7457a","county_2",27037
"5d05417d1a34960016e7457a","county_3",8123
"5d05417d1a34960016e7457a","county_4",49011
"5d05417d1a34960016e7457a","county_5",30111
"5dd864447beb29822b6c1e86","county_1",49045
"5dd864447beb29822b6c1e86","county_2",36001
"5dd864447beb29822b6c1e86","county_3",12099
"5dd864447beb29822b6c1e86","county_4",53033
"5dd864447beb29822b6c1e86","county_5",6097
"5f36b244518ae20b4628a3fe","county_1",8035
"5f36b244518ae20b4628a3fe","county_2",55131
"5f36b244518ae20b4628a3fe","county_3",39165
"5f36b244518ae20b4628a3fe","county_4",51107
"5f36b244518ae20b4628a3fe","county_5",34019
"5fe508e86079e12a8a3b2427","county_1",12099
"5fe508e86079e12a8a3b2427","county_2",34005
"5fe508e86079e12a8a3b2427","county_3",17111
"5fe508e86079e12a8a3b2427","county_4",17197
"5fe508e86079e12a8a3b2427","county_5",49045
"6044dfc230e44b5793804ba6","county_1",23031
"6044dfc230e44b5793804ba6","county_2",36103
"6044dfc230e44b5793804ba6","county_3",38015
"6044dfc230e44b5793804ba6","county_4",47187
"6044dfc230e44b5793804ba6","county_5",12019
"6328c18273754393c988735f","county_1",20091
"6328c18273754393c988735f","county_2",26093
"6328c18273754393c988735f","county_3",1117
"6328c18273754393c988735f","county_4",28121
"6328c18273754393c988735f","county_5",18063
"6365437803a6c343550df5bb","county_1",12031
"6365437803a6c343550df5bb","county_2",1009
"6365437803a6c343550df5bb","county_3",28099
"6365437803a6c343550df5bb","county_4",21175
"6365437803a6c343550df5bb","county_5",1101
"63ed580c8934f614a8b42187","county_1",48259
"63ed580c8934f614a8b42187","county_2",1117
"63ed580c8934f614a8b42187","county_3",28121
"63ed580c8934f614a8b42187","county_4",6073
"63ed580c8934f614a8b42187","county_5",8041
"63fad8b20e532757a496f7f5","county_1",6073
"63fad8b20e532757a496f7f5","county_2",12099
"63fad8b20e532757a496f7f5","county_3",48039
"63fad8b20e532757a496f7f5","county_4",8041
"63fad8b20e532757a496f7f5","county_5",36119
"63fcb1bc5430196e4e652913","county_1",24021
"63fcb1bc5430196e4e652913","county_2",33015
"63fcb1bc5430196e4e652913","county_3",12099
"63fcb1bc5430196e4e652913","county_4",48439
"63fcb1bc5430196e4e652913","county_5",6081
