"participant","county","fips"
"5928b6414a05920001393ecf","county_1",6025
"5928b6414a05920001393ecf","county_2",4001
"5928b6414a05920001393ecf","county_3",24031
"5928b6414a05920001393ecf","county_4",6085
"5928b6414a05920001393ecf","county_5",23005
"5de1ac810f8b6721970ab78a","county_1",6041
"5de1ac810f8b6721970ab78a","county_2",10003
"5de1ac810f8b6721970ab78a","county_3",48157
"5de1ac810f8b6721970ab78a","county_4",8013
"5de1ac810f8b6721970ab78a","county_5",53073
"5e691712a43f741c06e11a33","county_1",6061
"5e691712a43f741c06e11a33","county_2",6057
"5e691712a43f741c06e11a33","county_3",8037
"5e691712a43f741c06e11a33","county_4",10005
"5e691712a43f741c06e11a33","county_5",27137
"5ea48ae3461d1044f2d282cc","county_1",4005
"5ea48ae3461d1044f2d282cc","county_2",8037
"5ea48ae3461d1044f2d282cc","county_3",12086
"5ea48ae3461d1044f2d282cc","county_4",6055
"5ea48ae3461d1044f2d282cc","county_5",27053
"5f489766dbc4a2364c0f4f93","county_1",12086
"5f489766dbc4a2364c0f4f93","county_2",48479
"5f489766dbc4a2364c0f4f93","county_3",17031
"5f489766dbc4a2364c0f4f93","county_4",8059
"5f489766dbc4a2364c0f4f93","county_5",12095
"5f5ea24540d99b76cb6af503","county_1",48121
"5f5ea24540d99b76cb6af503","county_2",1073
"5f5ea24540d99b76cb6af503","county_3",39041
"5f5ea24540d99b76cb6af503","county_4",13067
"5f5ea24540d99b76cb6af503","county_5",48439
"6066736bd2119d9d5f7232eb","county_1",44007
"6066736bd2119d9d5f7232eb","county_2",42129
"6066736bd2119d9d5f7232eb","county_3",4027
"6066736bd2119d9d5f7232eb","county_4",8037
"6066736bd2119d9d5f7232eb","county_5",27053
"6386ddffc51c763958b55fd2","county_1",6037
"6386ddffc51c763958b55fd2","county_2",6073
"6386ddffc51c763958b55fd2","county_3",32003
"6386ddffc51c763958b55fd2","county_4",27137
"6386ddffc51c763958b55fd2","county_5",48201
