State,County,fips,Rate,Surprise,Duration,participant
Virginia,Campbell County,51031,0.883,0.004861944,183,surprise-5ab550836db3e700011be9fc
Virginia,Bedford County,51019,0.911,0.009545942,343,surprise-5ab550836db3e700011be9fc
Virginia,Botetourt County,51023,0.923,0.007296047,646,surprise-5ab550836db3e700011be9fc
Virginia,Bedford County,51019,0.911,0.009545942,2595,surprise-5ab550836db3e700011be9fc
Arizona,Mohave County,4015,0.814,-0.00578312,251,surprise-5ab550836db3e700011be9fc
Nevada,Clark County,32003,0.854,0.009872718,5613,surprise-5ab550836db3e700011be9fc
Florida,St. Johns County,12109,0.909,0.016321478,1184,surprise-5ab550836db3e700011be9fc
Florida,Clay County,12019,0.896,0.012385137,1515,surprise-5ab550836db3e700011be9fc
Florida,Duval County,12031,0.84,-0.000108351,452,surprise-5ab550836db3e700011be9fc
Florida,Brevard County,12009,0.866,0.00955482,250,surprise-5ab550836db3e700011be9fc
Florida,Broward County,12011,0.86,0.013251488,145,surprise-5ab550836db3e700011be9fc
Florida,Palm Beach County,12099,0.866,0.015037974,3034,surprise-5ab550836db3e700011be9fc
Florida,Broward County,12011,0.86,0.013251488,1115,surprise-5ab550836db3e700011be9fc
Florida,Hendry County,12051,0.745,-0.009242099,184,surprise-5ab550836db3e700011be9fc
Florida,Collier County,12021,0.872,0.009372385,795,surprise-5ab550836db3e700011be9fc
Florida,Okaloosa County,12091,0.885,0.009741723,1824,surprise-5ab550836db3e700011be9fc
Florida,Santa Rosa County,12113,0.887,0.009432162,204,surprise-5ab550836db3e700011be9fc
Florida,Escambia County,12033,0.854,0.003739835,230,surprise-5ab550836db3e700011be9fc
Alabama,Baldwin County,1003,0.882,0.0093056,1034,surprise-5ab550836db3e700011be9fc
Texas,Galveston County,48167,0.861,0.005822841,166,surprise-5ab550836db3e700011be9fc
Texas,Brazoria County,48039,0.901,0.017568916,2316,surprise-5ab550836db3e700011be9fc
Kentucky,Pulaski County,21199,0.748,-0.011295987,165,surprise-5ab550836db3e700011be9fc
West Virginia,Wyoming County,54109,0.778,-0.004394055,207,surprise-5ab550836db3e700011be9fc
West Virginia,Monroe County,54063,0.828,-0.000688219,172,surprise-5ab550836db3e700011be9fc
Virginia,Craig County,51045,0.907,0.0023066,128,surprise-5ab550836db3e700011be9fc
West Virginia,Nicholas County,54067,0.814,-0.002015866,141,surprise-5ab550836db3e700011be9fc
West Virginia,Kanawha County,54039,0.835,-0.001088126,202,surprise-5ab550836db3e700011be9fc
West Virginia,Cabell County,54011,0.768,-0.010742429,601,surprise-5ab550836db3e700011be9fc
West Virginia,Putnam County,54079,0.907,0.007696586,3187,surprise-5ab550836db3e700011be9fc
Wisconsin,Walworth County,55127,0.876,0.005563448,158,surprise-5ab550836db3e700011be9fc
Wisconsin,Dane County,55025,0.876,0.012626681,1834,surprise-5ab550836db3e700011be9fc
