State,County,fips,Rate,Surprise,Duration,participant
Washington,Skamania County,53059,0.867,0.0014150317847443873,335,choropleth-58c72acd444ade00010234d8
Oregon,Wasco County,41065,0.863,0.0017982538782873867,850,choropleth-58c72acd444ade00010234d8
Idaho,Bonneville County,16019,0.8809999999999999,0.0066805464735959635,2525,choropleth-58c72acd444ade00010234d8
Wyoming,Lincoln County,56023,0.907,0.004492927696413183,662,choropleth-58c72acd444ade00010234d8
Utah,Duchesne County,49013,0.873,0.0022517456597318476,448,choropleth-58c72acd444ade00010234d8
Utah,Uintah County,49047,0.884,0.003979784671820755,470,choropleth-58c72acd444ade00010234d8
Utah,Grand County,49019,0.873,0.0015657836360892497,297,choropleth-58c72acd444ade00010234d8
Arizona,Yavapai County,4025,0.853,0.0029603764591799283,134,choropleth-58c72acd444ade00010234d8
Arizona,Pinal County,4021,0.845,0.0015199518149699653,252,choropleth-58c72acd444ade00010234d8
Arizona,Maricopa County,4013,0.843,0.002790204059364666,3018,choropleth-58c72acd444ade00010234d8
Arizona,Pinal County,4021,0.845,0.0015199518149699653,567,choropleth-58c72acd444ade00010234d8
California,San Diego County,6073,0.867,0.02338179734117048,285,choropleth-58c72acd444ade00010234d8
California,Orange County,6059,0.879,0.03286113279486093,3944,choropleth-58c72acd444ade00010234d8
Arizona,Pima County,4019,0.8170000000000001,-0.011333692958088556,151,choropleth-58c72acd444ade00010234d8
Arizona,Pinal County,4021,0.845,0.0015199518149699653,166,choropleth-58c72acd444ade00010234d8
Arizona,Maricopa County,4013,0.843,0.002790204059364666,1736,choropleth-58c72acd444ade00010234d8
Arizona,Pima County,4019,0.8170000000000001,-0.011333692958088556,234,choropleth-58c72acd444ade00010234d8
Arizona,Pinal County,4021,0.845,0.0015199518149699653,419,choropleth-58c72acd444ade00010234d8
Arizona,Coconino County,4005,0.79,-0.00910671231272669,257,choropleth-58c72acd444ade00010234d8
New Hampshire,Sullivan County,33019,0.9059999999999999,0.0066078773515152595,157,choropleth-58c72acd444ade00010234d8
New York,Columbia County,36021,0.8859999999999999,0.005458807639880829,124,choropleth-58c72acd444ade00010234d8
New York,Ulster County,36111,0.868,0.005697699886719519,125,choropleth-58c72acd444ade00010234d8
Texas,Hemphill County,48211,0.912,0.002210705551367947,175,choropleth-58c72acd444ade00010234d8
Kansas,Harper County,20077,0.8320000000000001,-0.0002991732133388184,667,choropleth-58c72acd444ade00010234d8
Kansas,Ellis County,20051,0.833,-0.0005953057008503582,144,choropleth-58c72acd444ade00010234d8
Colorado,Lincoln County,8073,0.86,0.0007156457193602966,335,choropleth-58c72acd444ade00010234d8
New Mexico,Grant County,35017,0.78,-0.00485740084410556,2307,choropleth-58c72acd444ade00010234d8
Arizona,Pima County,4019,0.8170000000000001,-0.011333692958088556,133,choropleth-58c72acd444ade00010234d8
Arizona,Pinal County,4021,0.845,0.0015199518149699653,150,choropleth-58c72acd444ade00010234d8
Arizona,Maricopa County,4013,0.843,0.002790204059364666,166,choropleth-58c72acd444ade00010234d8
Arizona,Yavapai County,4025,0.853,0.0029603764591799283,120,choropleth-58c72acd444ade00010234d8
Arizona,Maricopa County,4013,0.843,0.002790204059364666,665,choropleth-58c72acd444ade00010234d8
California,Riverside County,6065,0.8440000000000001,0.002848366223186413,337,choropleth-58c72acd444ade00010234d8
California,Orange County,6059,0.879,0.03286113279486093,2551,choropleth-58c72acd444ade00010234d8
Nebraska,Deuel County,31049,0.889,0.001028466717449529,220,choropleth-58c72acd444ade00010234d8
Nebraska,Perkins County,31135,0.9520000000000001,0.002922753186292156,767,choropleth-58c72acd444ade00010234d8
Oklahoma,Pittsburg County,40121,0.8290000000000001,-0.0011470828905466182,506,choropleth-58c72acd444ade00010234d8
Wyoming,Sublette County,56035,0.9259999999999999,0.00411722989935288,143,choropleth-58c72acd444ade00010234d8
Wyoming,Park County,56029,0.93,0.007467698811790535,2863,choropleth-58c72acd444ade00010234d8
