State,County,fips,Rate,Surprise,Duration,participant
Virginia,Campbell County,51031,0.883,0.004861943728109214,183,surprise-5ab550836db3e700011be9fc
Virginia,Bedford County,51019,0.9109999999999999,0.009545941911481207,343,surprise-5ab550836db3e700011be9fc
Virginia,Botetourt County,51023,0.9229999999999999,0.00729604669552782,646,surprise-5ab550836db3e700011be9fc
Virginia,Bedford County,51019,0.9109999999999999,0.009545941911481207,2595,surprise-5ab550836db3e700011be9fc
Arizona,Mohave County,4015,0.8140000000000001,-0.005783119699842736,251,surprise-5ab550836db3e700011be9fc
Nevada,Clark County,32003,0.8540000000000001,0.00987271777198633,5613,surprise-5ab550836db3e700011be9fc
Florida,St. Johns County,12109,0.909,0.016321477567325545,1184,surprise-5ab550836db3e700011be9fc
Florida,Clay County,12019,0.8959999999999999,0.012385136738181339,1515,surprise-5ab550836db3e700011be9fc
Florida,Duval County,12031,0.84,-0.00010835069569603175,452,surprise-5ab550836db3e700011be9fc
Florida,Brevard County,12009,0.866,0.009554820188764305,250,surprise-5ab550836db3e700011be9fc
Florida,Broward County,12011,0.86,0.013251487927619387,145,surprise-5ab550836db3e700011be9fc
Florida,Palm Beach County,12099,0.866,0.015037973527757126,3034,surprise-5ab550836db3e700011be9fc
Florida,Broward County,12011,0.86,0.013251487927619387,1115,surprise-5ab550836db3e700011be9fc
Florida,Hendry County,12051,0.745,-0.00924209941262133,184,surprise-5ab550836db3e700011be9fc
Florida,Collier County,12021,0.872,0.009372385211210102,795,surprise-5ab550836db3e700011be9fc
Florida,Okaloosa County,12091,0.885,0.009741723251860382,1824,surprise-5ab550836db3e700011be9fc
Florida,Santa Rosa County,12113,0.887,0.009432162100416806,204,surprise-5ab550836db3e700011be9fc
Florida,Escambia County,12033,0.8540000000000001,0.0037398346544803944,230,surprise-5ab550836db3e700011be9fc
Alabama,Baldwin County,1003,0.882,0.009305600144461723,1034,surprise-5ab550836db3e700011be9fc
Texas,Galveston County,48167,0.861,0.0058228410084949014,166,surprise-5ab550836db3e700011be9fc
Texas,Brazoria County,48039,0.9009999999999999,0.017568916038883765,2316,surprise-5ab550836db3e700011be9fc
Kentucky,Pulaski County,21199,0.748,-0.011295986979307537,165,surprise-5ab550836db3e700011be9fc
West Virginia,Wyoming County,54109,0.778,-0.0043940547200686944,207,surprise-5ab550836db3e700011be9fc
West Virginia,Monroe County,54063,0.828,-0.0006882190982995298,172,surprise-5ab550836db3e700011be9fc
Virginia,Craig County,51045,0.907,0.002306600477928763,128,surprise-5ab550836db3e700011be9fc
West Virginia,Nicholas County,54067,0.8140000000000001,-0.002015866157906009,141,surprise-5ab550836db3e700011be9fc
West Virginia,Kanawha County,54039,0.835,-0.0010881264237629384,202,surprise-5ab550836db3e700011be9fc
West Virginia,Cabell County,54011,0.768,-0.01074242898096703,601,surprise-5ab550836db3e700011be9fc
West Virginia,Putnam County,54079,0.907,0.007696585773785293,3187,surprise-5ab550836db3e700011be9fc
Wisconsin,Walworth County,55127,0.8759999999999999,0.00556344814678199,158,surprise-5ab550836db3e700011be9fc
Wisconsin,Dane County,55025,0.8759999999999999,0.012626680538194343,1834,surprise-5ab550836db3e700011be9fc
Utah,Tooele County,49045,0.9309999999999999,0.011372897476372653,930,surprise-5d05417d1a34960016e7457a
Utah,Kane County,49025,0.889,0.0020602442474179396,179,surprise-5d05417d1a34960016e7457a
Arizona,Mohave County,4015,0.8140000000000001,-0.005783119699842736,162,surprise-5d05417d1a34960016e7457a
Nevada,Clark County,32003,0.8540000000000001,0.00987271777198633,3110,surprise-5d05417d1a34960016e7457a
Utah,Iron County,49021,0.7909999999999999,-0.005386537249010319,124,surprise-5d05417d1a34960016e7457a
Colorado,Routt County,8107,0.893,0.004064006674685407,179,surprise-5d05417d1a34960016e7457a
Colorado,Jackson County,8057,0.872,0.0005747563794604408,187,surprise-5d05417d1a34960016e7457a
Colorado,Larimer County,8069,0.8759999999999999,0.010129626640899532,181,surprise-5d05417d1a34960016e7457a
Colorado,Weld County,8123,0.888,0.012706849607412626,234,surprise-5d05417d1a34960016e7457a
Kansas,Butler County,20015,0.892,0.006481420453758851,517,surprise-5d05417d1a34960016e7457a
Kansas,Anderson County,20003,0.8640000000000001,0.0010223658837184904,185,surprise-5d05417d1a34960016e7457a
Kansas,Johnson County,20091,0.9440000000000001,0.03771201659652061,141,surprise-5d05417d1a34960016e7457a
Missouri,Platte County,29165,0.9279999999999999,0.013448268876690723,2028,surprise-5d05417d1a34960016e7457a
Iowa,Polk County,19153,0.883,0.01429135481237891,177,surprise-5d05417d1a34960016e7457a
