"participant","county","fips"
"5746f1955e549100063b3c45","county_1",30033
"5746f1955e549100063b3c45","county_2",30055
"5746f1955e549100063b3c45","county_3",46063
"5746f1955e549100063b3c45","county_4",38087
"5746f1955e549100063b3c45","county_5",31117
"5ac43d51a3ba7a0001b498d0","county_1",30033
"5ac43d51a3ba7a0001b498d0","county_2",30055
"5ac43d51a3ba7a0001b498d0","county_3",38087
"5ac43d51a3ba7a0001b498d0","county_4",46063
"5ac43d51a3ba7a0001b498d0","county_5",31117
"5ba1096e22fbd400013ed0da","county_1",30033
"5ba1096e22fbd400013ed0da","county_2",30055
"5ba1096e22fbd400013ed0da","county_3",31117
"5ba1096e22fbd400013ed0da","county_4",22023
"5ba1096e22fbd400013ed0da","county_5",46063
"5c53c145409f6e0001130a32","county_1",38087
"5c53c145409f6e0001130a32","county_2",22023
"5c53c145409f6e0001130a32","county_3",39075
"5c53c145409f6e0001130a32","county_4",31117
"5c53c145409f6e0001130a32","county_5",30055
"5d64d24490a2810001c6a8b9","county_1",30033
"5d64d24490a2810001c6a8b9","county_2",30055
"5d64d24490a2810001c6a8b9","county_3",46063
"5d64d24490a2810001c6a8b9","county_4",39075
"5d64d24490a2810001c6a8b9","county_5",22023
"5f500418133110165a1539a9","county_1",22023
"5f500418133110165a1539a9","county_2",46063
"5f500418133110165a1539a9","county_3",30033
"5f500418133110165a1539a9","county_4",30055
"5f500418133110165a1539a9","county_5",31117
"60329bc5eccb812b1403ea45","county_1",46063
"60329bc5eccb812b1403ea45","county_2",30033
"60329bc5eccb812b1403ea45","county_3",30055
"60329bc5eccb812b1403ea45","county_4",22023
"60329bc5eccb812b1403ea45","county_5",39075
"614fa2d8176b0317b451cd0f","county_1",22023
"614fa2d8176b0317b451cd0f","county_2",29067
"614fa2d8176b0317b451cd0f","county_3",50011
"614fa2d8176b0317b451cd0f","county_4",39075
"614fa2d8176b0317b451cd0f","county_5",1133
"623a732198d2a11b21faccc9","county_1",30033
"623a732198d2a11b21faccc9","county_2",30055
"623a732198d2a11b21faccc9","county_3",46063
"623a732198d2a11b21faccc9","county_4",13025
"623a732198d2a11b21faccc9","county_5",22023
"629e112d75f3665c8362ab6f","county_1",31117
"629e112d75f3665c8362ab6f","county_2",30033
"629e112d75f3665c8362ab6f","county_3",30055
"629e112d75f3665c8362ab6f","county_4",39075
"629e112d75f3665c8362ab6f","county_5",22023
"62f13dc95cf68f5d1182f495","county_1",30033
"62f13dc95cf68f5d1182f495","county_2",39075
"62f13dc95cf68f5d1182f495","county_3",22023
"62f13dc95cf68f5d1182f495","county_4",31117
"62f13dc95cf68f5d1182f495","county_5",46063
"63174baf2f76e2f3acf6076d","county_1",30033
"63174baf2f76e2f3acf6076d","county_2",30055
"63174baf2f76e2f3acf6076d","county_3",46063
"63174baf2f76e2f3acf6076d","county_4",22023
"63174baf2f76e2f3acf6076d","county_5",1133
"631cd2d174d35f3489e933c4","county_1",38053
"631cd2d174d35f3489e933c4","county_2",13271
"631cd2d174d35f3489e933c4","county_3",48351
"631cd2d174d35f3489e933c4","county_4",48165
"631cd2d174d35f3489e933c4","county_5",13183
