State,County,Fips,Rate,Surprise,Duration,Participant
MT,Valley County,30105,0.484,-0.06629280450824408,505,choropleth-5746f1955e549100063b3c45
NM,Luna County,35029,0.774,0.5876279936541744,250,choropleth-5746f1955e549100063b3c45
OR,Malheur County,41045,0.495,-0.10417603481093009,201,choropleth-5746f1955e549100063b3c45
MT,Yellowstone County,30111,0.53,-0.016021199613363225,843,choropleth-5746f1955e549100063b3c45
MT,Custer County,30017,0.451,-0.1382034440882021,203,choropleth-5746f1955e549100063b3c45
MT,Garfield County,30033,0.19699999999999998,-0.1888584276960661,536,choropleth-5746f1955e549100063b3c45
NE,Hooker County,31091,0.428,-0.04337998449110544,220,choropleth-5746f1955e549100063b3c45
WY,Laramie County,56021,0.584,0.257583813388726,136,choropleth-5746f1955e549100063b3c45
WY,Albany County,56001,0.578,0.14242598708708942,388,choropleth-5746f1955e549100063b3c45
WY,Natrona County,56025,0.47200000000000003,-0.2711414274178231,249,choropleth-5746f1955e549100063b3c45
UT,Cache County,49005,0.596,0.36025514307165635,383,choropleth-5746f1955e549100063b3c45
WY,Fremont County,56013,0.545,0.03933962904635249,631,choropleth-5746f1955e549100063b3c45
WY,Fremont County,56013,0.545,0.03933962904635249,375,choropleth-5746f1955e549100063b3c45
MT,Big Horn County,30003,0.92,0.7058057683028113,155,choropleth-5746f1955e549100063b3c45
MT,Rosebud County,30087,0.8640000000000001,0.49572733497704474,364,choropleth-5746f1955e549100063b3c45
MT,Garfield County,30033,0.19699999999999998,-0.1888584276960661,723,choropleth-5746f1955e549100063b3c45
MT,McCone County,30055,0.18100000000000002,-0.22747238953776855,707,choropleth-5746f1955e549100063b3c45
MN,Chisago County,27025,0.588,0.20943359484013652,541,choropleth-5746f1955e549100063b3c45
MN,Isanti County,27059,0.442,-0.2891126073202967,129,choropleth-5746f1955e549100063b3c45
SD,Hyde County,46069,0.56,0.015764067839490796,263,choropleth-5746f1955e549100063b3c45
SD,Butte County,46019,0.41600000000000004,-0.18883100530038038,219,choropleth-5746f1955e549100063b3c45
SD,Harding County,46063,0.193,-0.1941138649285924,856,choropleth-5746f1955e549100063b3c45
MN,Stevens County,27149,0.593,0.0951543600748349,778,choropleth-5746f1955e549100063b3c45
MN,Traverse County,27155,0.66,0.11559652884007073,300,choropleth-5746f1955e549100063b3c45
SD,McPherson County,46089,0.409,-0.09569950728273041,182,choropleth-5746f1955e549100063b3c45
ND,Adams County,38001,0.49,-0.03180955944350538,225,choropleth-5746f1955e549100063b3c45
ND,Slope County,38087,0.11199999999999999,-0.1827786395958557,1197,choropleth-5746f1955e549100063b3c45
ND,Sargent County,38081,0.608,0.07488947459356281,185,choropleth-5746f1955e549100063b3c45
ND,Richland County,38077,0.5379999999999999,0.011102761146971712,440,choropleth-5746f1955e549100063b3c45
UT,Juab County,49023,0.379,-0.26685009949378913,579,choropleth-5746f1955e549100063b3c45
NE,Garden County,31069,0.461,-0.04871207301289091,700,choropleth-5746f1955e549100063b3c45
NE,Sheridan County,31161,0.33899999999999997,-0.22235888090727823,143,choropleth-5746f1955e549100063b3c45
NE,Cherry County,31031,0.358,-0.20885108067832917,154,choropleth-5746f1955e549100063b3c45
SD,Oglala Lakota County,46102,0.87,0.634713718531353,127,choropleth-5746f1955e549100063b3c45
SD,Butte County,46019,0.41600000000000004,-0.18883100530038038,216,choropleth-5746f1955e549100063b3c45
SD,Harding County,46063,0.193,-0.1941138649285924,1179,choropleth-5746f1955e549100063b3c45
NE,Morrill County,31123,0.363,-0.18330013357019115,240,choropleth-5746f1955e549100063b3c45
NE,Arthur County,31005,0.201,-0.1132974725323833,358,choropleth-5746f1955e549100063b3c45
NE,McPherson County,31117,0.14800000000000002,-0.13570729775798426,1566,choropleth-5746f1955e549100063b3c45
MI,Chippewa County,26033,0.711,0.545379387098166,213,choropleth-5ac43d51a3ba7a0001b498d0
CO,Elbert County,8039,0.385,-0.3819572867917697,261,choropleth-5ac43d51a3ba7a0001b498d0
MN,St. Louis County,27137,0.685,1.0695247797158678,350,choropleth-5ac43d51a3ba7a0001b498d0
MO,Ozark County,29153,0.325,-0.31501424826355007,153,choropleth-5ac43d51a3ba7a0001b498d0
MO,Cedar County,29039,0.324,-0.3955282592490461,153,choropleth-5ac43d51a3ba7a0001b498d0
NM,Rio Arriba County,35039,0.816,0.881017225115326,1117,choropleth-5ac43d51a3ba7a0001b498d0
NM,Bernalillo County,35001,0.726,2.4658264656523077,359,choropleth-5ac43d51a3ba7a0001b498d0
MT,Yellowstone County,30111,0.53,-0.016021199613363225,177,choropleth-5ac43d51a3ba7a0001b498d0
MT,Musselshell County,30065,0.35600000000000004,-0.19066977914454966,138,choropleth-5ac43d51a3ba7a0001b498d0
MT,Rosebud County,30087,0.8640000000000001,0.49572733497704474,595,choropleth-5ac43d51a3ba7a0001b498d0
MT,Garfield County,30033,0.19699999999999998,-0.1888584276960661,628,choropleth-5ac43d51a3ba7a0001b498d0
MT,McCone County,30055,0.18100000000000002,-0.22747238953776855,1866,choropleth-5ac43d51a3ba7a0001b498d0
ND,Mercer County,38057,0.396,-0.19601230357574595,225,choropleth-5ac43d51a3ba7a0001b498d0
SD,Harding County,46063,0.193,-0.1941138649285924,362,choropleth-5ac43d51a3ba7a0001b498d0
ND,Bowman County,38011,0.391,-0.12358431305674197,206,choropleth-5ac43d51a3ba7a0001b498d0
ND,Slope County,38087,0.11199999999999999,-0.1827786395958557,859,choropleth-5ac43d51a3ba7a0001b498d0
SD,Harding County,46063,0.193,-0.1941138649285924,1369,choropleth-5ac43d51a3ba7a0001b498d0
SD,Harding County,46063,0.193,-0.1941138649285924,1672,choropleth-5ac43d51a3ba7a0001b498d0
NE,Lincoln County,31111,0.341,-0.5656371586298953,197,choropleth-5ac43d51a3ba7a0001b498d0
NE,McPherson County,31117,0.14800000000000002,-0.13570729775798426,1825,choropleth-5ac43d51a3ba7a0001b498d0
MT,Garfield County,30033,0.19699999999999998,-0.1888584276960661,6569,choropleth-5ba1096e22fbd400013ed0da
MT,McCone County,30055,0.18100000000000002,-0.22747238953776855,5234,choropleth-5ba1096e22fbd400013ed0da
NE,McPherson County,31117,0.14800000000000002,-0.13570729775798426,2478,choropleth-5ba1096e22fbd400013ed0da
LA,Cameron Parish,22023,0.183,-0.4618509770673463,6754,choropleth-5ba1096e22fbd400013ed0da
SD,Harding County,46063,0.193,-0.1941138649285924,16902,choropleth-5ba1096e22fbd400013ed0da
WA,Whatcom County,53073,0.738,1.5384219709566176,376,choropleth-5c53c145409f6e0001130a32
OR,Harney County,41025,0.469,-0.08675612521467724,1626,choropleth-5c53c145409f6e0001130a32
OR,Linn County,41043,0.5660000000000001,0.1914508378133325,186,choropleth-5c53c145409f6e0001130a32
OR,Benton County,41003,0.764,1.1095545552742945,263,choropleth-5c53c145409f6e0001130a32
OR,Lincoln County,41041,0.727,0.6862768746804844,264,choropleth-5c53c145409f6e0001130a32
NV,Esmeralda County,32009,0.419,-0.05330139777845869,212,choropleth-5c53c145409f6e0001130a32
CA,Inyo County,6027,UNK,1169,choropleth-5c53c145409f6e0001130a32
CA,Mono County,6051,UNK,175,choropleth-5c53c145409f6e0001130a32
CA,Mariposa County,6043,UNK,723,choropleth-5c53c145409f6e0001130a32
CA,Mendocino County,6045,0.69,0.73190002221544,150,choropleth-5c53c145409f6e0001130a32
CA,Sonoma County,6097,0.8,2.8928714674001417,700,choropleth-5c53c145409f6e0001130a32
CA,Marin County,6041,0.914,2.981976509179489,162,choropleth-5c53c145409f6e0001130a32
CA,San Mateo County,6081,0.865,4.3888167434925895,1498,choropleth-5c53c145409f6e0001130a32
TX,Carson County,48065,0.358,-0.21314736294326825,1142,choropleth-5c53c145409f6e0001130a32
AZ,Apache County,4001,0.95,1.7460433431494484,247,choropleth-5c53c145409f6e0001130a32
NM,Rio Arriba County,35039,0.816,0.881017225115326,311,choropleth-5c53c145409f6e0001130a32
NM,Rio Arriba County,35039,0.816,0.881017225115326,407,choropleth-5c53c145409f6e0001130a32
NM,Rio Arriba County,35039,0.816,0.881017225115326,385,choropleth-5c53c145409f6e0001130a32
CA,Mono County,6051,UNK,133,choropleth-5c53c145409f6e0001130a32
CA,Contra Costa County,6013,0.838,4.909438081428976,947,choropleth-5c53c145409f6e0001130a32
CA,San Mateo County,6081,0.865,4.3888167434925895,220,choropleth-5c53c145409f6e0001130a32
CA,Santa Clara County,6085,0.885,7.072276594546258,4636,choropleth-5c53c145409f6e0001130a32
TX,Stephens County,48429,0.368,-0.2525038439460324,129,choropleth-5c53c145409f6e0001130a32
TX,Shackelford County,48417,0.36700000000000005,-0.15015206503182862,483,choropleth-5c53c145409f6e0001130a32
TX,Motley County,48345,0.28300000000000003,-0.13724711234815648,159,choropleth-5c53c145409f6e0001130a32
TX,Hall County,48191,0.433,-0.08607133292032518,264,choropleth-5c53c145409f6e0001130a32
TX,Donley County,48129,0.33399999999999996,-0.1803911782577319,250,choropleth-5c53c145409f6e0001130a32
HI,Hawaii County,15001,0,UNK,250,choropleth-5c53c145409f6e0001130a32
HI,Hawaii County,15001,0,UNK,437,choropleth-5c53c145409f6e0001130a32
KS,Butler County,20015,0.505,-0.11302178607130076,161,choropleth-5c53c145409f6e0001130a32
KS,Wabaunsee County,20197,0.49,-0.056243016182452706,615,choropleth-5c53c145409f6e0001130a32
KS,Wabaunsee County,20197,0.49,-0.056243016182452706,881,choropleth-5c53c145409f6e0001130a32
LA,Cameron Parish,22023,0.183,-0.4618509770673463,808,choropleth-5c53c145409f6e0001130a32
KS,Osage County,20139,0.524,-0.017084218724834375,299,choropleth-5c53c145409f6e0001130a32
LA,St. Martin Parish,22099,0.41,-0.44819020008522975,250,choropleth-5c53c145409f6e0001130a32
LA,Terrebonne Parish,22109,0.46399999999999997,-0.3607082083010849,153,choropleth-5c53c145409f6e0001130a32
LA,Cameron Parish,22023,0.183,-0.4618509770673463,2751,choropleth-5c53c145409f6e0001130a32
IA,Plymouth County,19149,0.536,0.008805799681429149,321,choropleth-5c53c145409f6e0001130a32
MT,Custer County,30017,0.451,-0.1382034440882021,208,choropleth-5c53c145409f6e0001130a32
MT,Garfield County,30033,0.19699999999999998,-0.1888584276960661,994,choropleth-5c53c145409f6e0001130a32
MT,McCone County,30055,0.18100000000000002,-0.22747238953776855,712,choropleth-5c53c145409f6e0001130a32
SD,Hand County,46059,0.498,-0.030987842869103645,230,choropleth-5c53c145409f6e0001130a32
ND,Billings County,38007,0.22,-0.1511471124642408,182,choropleth-5c53c145409f6e0001130a32
MT,Fallon County,30025,0.35100000000000003,-0.15373311417770363,188,choropleth-5c53c145409f6e0001130a32
MT,Carter County,30011,0.319,-0.11998384474494776,626,choropleth-5c53c145409f6e0001130a32
SD,Harding County,46063,0.193,-0.1941138649285924,905,choropleth-5c53c145409f6e0001130a32
ND,Stark County,38089,0.37799999999999995,-0.43400697758047685,285,choropleth-5c53c145409f6e0001130a32
ND,Hettinger County,38041,0.401,-0.1044271196529351,210,choropleth-5c53c145409f6e0001130a32
ND,Slope County,38087,0.11199999999999999,-0.1827786395958557,1975,choropleth-5c53c145409f6e0001130a32
MO,Dent County,29065,0.353,-0.35489700514398403,944,choropleth-5c53c145409f6e0001130a32
LA,St. Mary Parish,22101,0.46,-0.2554554087126337,122,choropleth-5c53c145409f6e0001130a32
LA,St. Martin Parish,22099,0.41,-0.44819020008522975,193,choropleth-5c53c145409f6e0001130a32
LA,Vermilion Parish,22113,0.391,-0.5457890268129129,245,choropleth-5c53c145409f6e0001130a32
LA,Cameron Parish,22023,0.183,-0.4618509770673463,776,choropleth-5c53c145409f6e0001130a32
TN,Roane County,47145,0.452,-0.2948825574308536,128,choropleth-5c53c145409f6e0001130a32
TN,Morgan County,47129,0.526,-0.015139403183253464,158,choropleth-5c53c145409f6e0001130a32
PA,Blair County,42013,0.547,0.08036170836507434,134,choropleth-5c53c145409f6e0001130a32
OH,Muskingum County,39119,0.49200000000000005,-0.18877180756843026,223,choropleth-5c53c145409f6e0001130a32
OH,Coshocton County,39031,0.4,-0.40142160555760054,595,choropleth-5c53c145409f6e0001130a32
OH,Holmes County,39075,0.184,-1.1476440353843762,1088,choropleth-5c53c145409f6e0001130a32
LA,Avoyelles Parish,22009,0.488,-0.14160104747999433,184,choropleth-5c53c145409f6e0001130a32
LA,Allen Parish,22003,0.369,-0.4144240400205874,180,choropleth-5c53c145409f6e0001130a32
LA,Calcasieu Parish,22019,0.434,-0.7012939258675575,820,choropleth-5c53c145409f6e0001130a32
LA,Cameron Parish,22023,0.183,-0.4618509770673463,1116,choropleth-5c53c145409f6e0001130a32
IN,Spencer County,18147,0.462,-0.15939448633124953,540,choropleth-5c53c145409f6e0001130a32
OH,Tuscarawas County,39157,0.455,-0.37236189741047676,243,choropleth-5c53c145409f6e0001130a32
OH,Holmes County,39075,0.184,-1.1476440353843762,1299,choropleth-5c53c145409f6e0001130a32
NE,Morrill County,31123,0.363,-0.18330013357019115,125,choropleth-5c53c145409f6e0001130a32
NE,McPherson County,31117,0.14800000000000002,-0.13570729775798426,3143,choropleth-5c53c145409f6e0001130a32
