"participant","county","fips"
"562be0d4733ea00011162e31","county_1",4013
"562be0d4733ea00011162e31","county_2",6071
"562be0d4733ea00011162e31","county_3",42011
"562be0d4733ea00011162e31","county_4",42071
"562be0d4733ea00011162e31","county_5",37019
"5b691277dc84c60001744bfc","county_1",48213
"5b691277dc84c60001744bfc","county_2",56005
"5b691277dc84c60001744bfc","county_3",38105
"5b691277dc84c60001744bfc","county_4",1117
"5b691277dc84c60001744bfc","county_5",13223
"5c7070519f9392000150023c","county_1",1117
"5c7070519f9392000150023c","county_2",13223
"5c7070519f9392000150023c","county_3",29145
"5c7070519f9392000150023c","county_4",39075
"5c7070519f9392000150023c","county_5",18087
"6039b3699649cf4b48cd3d12","county_1",31005
"6039b3699649cf4b48cd3d12","county_2",31117
"6039b3699649cf4b48cd3d12","county_3",31075
"6039b3699649cf4b48cd3d12","county_4",31171
"6039b3699649cf4b48cd3d12","county_5",46063
"60fdbe6a8c43af047091f925","county_1",29145
"60fdbe6a8c43af047091f925","county_2",1117
"60fdbe6a8c43af047091f925","county_3",18087
"60fdbe6a8c43af047091f925","county_4",39075
"60fdbe6a8c43af047091f925","county_5",13223
"60ff1668f3238bd02d40328d","county_1",29145
"60ff1668f3238bd02d40328d","county_2",18087
"60ff1668f3238bd02d40328d","county_3",39075
"60ff1668f3238bd02d40328d","county_4",1117
"60ff1668f3238bd02d40328d","county_5",13223
"61061563506ce85595b3455a","county_1",45007
"61061563506ce85595b3455a","county_2",4015
"61061563506ce85595b3455a","county_3",48329
"61061563506ce85595b3455a","county_4",48381
"61061563506ce85595b3455a","county_5",6007
"614eb0a92921d8c1e64f4873","county_1",1117
"614eb0a92921d8c1e64f4873","county_2",13223
"614eb0a92921d8c1e64f4873","county_3",39075
"614eb0a92921d8c1e64f4873","county_4",18087
"614eb0a92921d8c1e64f4873","county_5",29145
"63d1cee8ff63ad99336fbc32","county_1",1117
"63d1cee8ff63ad99336fbc32","county_2",13223
"63d1cee8ff63ad99336fbc32","county_3",29145
"63d1cee8ff63ad99336fbc32","county_4",18087
"63d1cee8ff63ad99336fbc32","county_5",39075
