"participant","county_rank","fips"
"choropleth-58c72acd444ade00010234d8","county_1",4013
"choropleth-58c72acd444ade00010234d8","county_2",6059
"choropleth-58c72acd444ade00010234d8","county_3",6081
"choropleth-58c72acd444ade00010234d8","county_4",53033
"choropleth-58c72acd444ade00010234d8","county_5",6073
"choropleth-5aeb46c5ed102400010f26cb","county_1",36059
"choropleth-5aeb46c5ed102400010f26cb","county_2",51059
"choropleth-5aeb46c5ed102400010f26cb","county_3",51107
"choropleth-5aeb46c5ed102400010f26cb","county_4",55133
"choropleth-5aeb46c5ed102400010f26cb","county_5",36103
"choropleth-5cec5f7afdd26c00193ba64b","county_1",36005
"choropleth-5cec5f7afdd26c00193ba64b","county_2",12107
"choropleth-5cec5f7afdd26c00193ba64b","county_3",48041
"choropleth-5cec5f7afdd26c00193ba64b","county_4",22097
"choropleth-5cec5f7afdd26c00193ba64b","county_5",6107
"choropleth-5ea4c1cb7a313648ab349f3d","county_1",56029
"choropleth-5ea4c1cb7a313648ab349f3d","county_2",30033
"choropleth-5ea4c1cb7a313648ab349f3d","county_3",48033
"choropleth-5ea4c1cb7a313648ab349f3d","county_4",24027
"choropleth-5ea4c1cb7a313648ab349f3d","county_5",20179
"choropleth-5ee811d6f82aa71171ed4d83","county_1",31183
"choropleth-5ee811d6f82aa71171ed4d83","county_2",48033
"choropleth-5ee811d6f82aa71171ed4d83","county_3",48393
"choropleth-5ee811d6f82aa71171ed4d83","county_4",34019
"choropleth-5ee811d6f82aa71171ed4d83","county_5",51107
"choropleth-61086dd335b5043ec71b99b5","county_1",36103
"choropleth-61086dd335b5043ec71b99b5","county_2",30033
"choropleth-61086dd335b5043ec71b99b5","county_3",36091
"choropleth-61086dd335b5043ec71b99b5","county_4",39041
"choropleth-61086dd335b5043ec71b99b5","county_5",47187
"choropleth-614ece6fdaa50e12e6f3f98f","county_1",51107
"choropleth-614ece6fdaa50e12e6f3f98f","county_2",24031
"choropleth-614ece6fdaa50e12e6f3f98f","county_3",36103
"choropleth-614ece6fdaa50e12e6f3f98f","county_4",36059
"choropleth-614ece6fdaa50e12e6f3f98f","county_5",6081
"choropleth-628e216bba11289b021aa0bd","county_1",56011
"choropleth-628e216bba11289b021aa0bd","county_2",48033
"choropleth-628e216bba11289b021aa0bd","county_3",48269
"choropleth-628e216bba11289b021aa0bd","county_4",48393
"choropleth-628e216bba11289b021aa0bd","county_5",24027
"choropleth-63d7d7b2acbb9e89e82b7086","county_1",49029
"choropleth-63d7d7b2acbb9e89e82b7086","county_2",8111
"choropleth-63d7d7b2acbb9e89e82b7086","county_3",8035
"choropleth-63d7d7b2acbb9e89e82b7086","county_4",48269
"choropleth-63d7d7b2acbb9e89e82b7086","county_5",48033
