participant,fips
surprise-5ab550836db3e700011be9fc,51019
surprise-5ab550836db3e700011be9fc,32003
surprise-5ab550836db3e700011be9fc,48039
surprise-5ab550836db3e700011be9fc,54079
surprise-5ab550836db3e700011be9fc,55025
surprise-5d05417d1a34960016e7457a,29165
surprise-5d05417d1a34960016e7457a,27037
surprise-5d05417d1a34960016e7457a,8123
surprise-5d05417d1a34960016e7457a,49011
surprise-5d05417d1a34960016e7457a,30111
surprise-5dd864447beb29822b6c1e86,49045
surprise-5dd864447beb29822b6c1e86,36001
surprise-5dd864447beb29822b6c1e86,12099
surprise-5dd864447beb29822b6c1e86,53033
surprise-5dd864447beb29822b6c1e86,6097
surprise-5f36b244518ae20b4628a3fe,8035
surprise-5f36b244518ae20b4628a3fe,55131
surprise-5f36b244518ae20b4628a3fe,39165
surprise-5f36b244518ae20b4628a3fe,51107
surprise-5f36b244518ae20b4628a3fe,34019
surprise-5fe508e86079e12a8a3b2427,12099
surprise-5fe508e86079e12a8a3b2427,34005
surprise-5fe508e86079e12a8a3b2427,17111
surprise-5fe508e86079e12a8a3b2427,17197
surprise-5fe508e86079e12a8a3b2427,49045
surprise-6044dfc230e44b5793804ba6,23031
surprise-6044dfc230e44b5793804ba6,36103
surprise-6044dfc230e44b5793804ba6,38015
surprise-6044dfc230e44b5793804ba6,47187
surprise-6044dfc230e44b5793804ba6,12019
surprise-6328c18273754393c988735f,20091
surprise-6328c18273754393c988735f,26093
surprise-6328c18273754393c988735f,1117
surprise-6328c18273754393c988735f,28121
surprise-6328c18273754393c988735f,18063
surprise-6365437803a6c343550df5bb,12031
surprise-6365437803a6c343550df5bb,1009
surprise-6365437803a6c343550df5bb,28099
surprise-6365437803a6c343550df5bb,21175
surprise-6365437803a6c343550df5bb,1101
surprise-63ed580c8934f614a8b42187,48259
surprise-63ed580c8934f614a8b42187,1117
surprise-63ed580c8934f614a8b42187,28121
surprise-63ed580c8934f614a8b42187,6073
surprise-63ed580c8934f614a8b42187,8041
surprise-63fad8b20e532757a496f7f5,6073
surprise-63fad8b20e532757a496f7f5,12099
surprise-63fad8b20e532757a496f7f5,48039
surprise-63fad8b20e532757a496f7f5,8041
surprise-63fad8b20e532757a496f7f5,36119
surprise-63fcb1bc5430196e4e652913,24021
surprise-63fcb1bc5430196e4e652913,33015
surprise-63fcb1bc5430196e4e652913,12099
surprise-63fcb1bc5430196e4e652913,48439
surprise-63fcb1bc5430196e4e652913,6081
