"participant","maptype","condition","dataset","county","fips"
"5b7d8c9c3d2d0a0001724c46","vsup","best","poverty","county_1",24021
"5b7d8c9c3d2d0a0001724c46","vsup","best","poverty","county_2",27171
"5b7d8c9c3d2d0a0001724c46","vsup","best","poverty","county_3",48085
"5b7d8c9c3d2d0a0001724c46","vsup","best","poverty","county_4",49011
"5b7d8c9c3d2d0a0001724c46","vsup","best","poverty","county_5",27003
"5c4684826a7dbc00017c0a87","vsup","best","poverty","county_1",6007
"5c4684826a7dbc00017c0a87","vsup","best","poverty","county_2",6071
"5c4684826a7dbc00017c0a87","vsup","best","poverty","county_3",48491
"5c4684826a7dbc00017c0a87","vsup","best","poverty","county_4",12086
"5c4684826a7dbc00017c0a87","vsup","best","poverty","county_5",9011
"5e464df53f7dd9117a4446a8","vsup","best","poverty","county_1",24013
"5e464df53f7dd9117a4446a8","vsup","best","poverty","county_2",8035
"5e464df53f7dd9117a4446a8","vsup","best","poverty","county_3",36091
"5e464df53f7dd9117a4446a8","vsup","best","poverty","county_4",51041
"5e464df53f7dd9117a4446a8","vsup","best","poverty","county_5",48491
"5f31c74722eeb30e81d1ef3e","vsup","best","poverty","county_1",25001
"5f31c74722eeb30e81d1ef3e","vsup","best","poverty","county_2",33015
"5f31c74722eeb30e81d1ef3e","vsup","best","poverty","county_3",51085
"5f31c74722eeb30e81d1ef3e","vsup","best","poverty","county_4",55109
"5f31c74722eeb30e81d1ef3e","vsup","best","poverty","county_5",8035
"5f4b01e7e534bc10f5b6388d","vsup","best","poverty","county_1",51107
"5f4b01e7e534bc10f5b6388d","vsup","best","poverty","county_2",34019
"5f4b01e7e534bc10f5b6388d","vsup","best","poverty","county_3",8035
"5f4b01e7e534bc10f5b6388d","vsup","best","poverty","county_4",48253
"5f4b01e7e534bc10f5b6388d","vsup","best","poverty","county_5",48085
"5f51135fd3e0342eda5f66c5","vsup","best","poverty","county_1",27037
"5f51135fd3e0342eda5f66c5","vsup","best","poverty","county_2",8035
"5f51135fd3e0342eda5f66c5","vsup","best","poverty","county_3",48491
