"participant","maptype","condition","dataset","county","fips"
"55c233f8fdf99b3d97521979","vsup","best","vaccine","county_1",12099
"55c233f8fdf99b3d97521979","vsup","best","vaccine","county_2",12083
"55c233f8fdf99b3d97521979","vsup","best","vaccine","county_3",36017
"55c233f8fdf99b3d97521979","vsup","best","vaccine","county_4",53005
"55c233f8fdf99b3d97521979","vsup","best","vaccine","county_5",17103
"574790895e549100063b6105","vsup","best","vaccine","county_1",42029
"574790895e549100063b6105","vsup","best","vaccine","county_2",36119
"574790895e549100063b6105","vsup","best","vaccine","county_3",9001
"574790895e549100063b6105","vsup","best","vaccine","county_4",9011
"574790895e549100063b6105","vsup","best","vaccine","county_5",23017
"57a6bacceeaf6d00018d64da","vsup","best","vaccine","county_1",12086
"57a6bacceeaf6d00018d64da","vsup","best","vaccine","county_2",6025
"57a6bacceeaf6d00018d64da","vsup","best","vaccine","county_3",6041
"57a6bacceeaf6d00018d64da","vsup","best","vaccine","county_4",48479
"57a6bacceeaf6d00018d64da","vsup","best","vaccine","county_5",4001
"5aebb10baa05510001ff6500","vsup","best","vaccine","county_1",9009
"5aebb10baa05510001ff6500","vsup","best","vaccine","county_2",23005
"5aebb10baa05510001ff6500","vsup","best","vaccine","county_3",12086
"5aebb10baa05510001ff6500","vsup","best","vaccine","county_4",4001
"5aebb10baa05510001ff6500","vsup","best","vaccine","county_5",6081
"5afa1dfb3aba4900015f26a6","vsup","best","vaccine","county_1",6025
"5afa1dfb3aba4900015f26a6","vsup","best","vaccine","county_2",4017
"5afa1dfb3aba4900015f26a6","vsup","best","vaccine","county_3",4001
"5afa1dfb3aba4900015f26a6","vsup","best","vaccine","county_4",35031
"5afa1dfb3aba4900015f26a6","vsup","best","vaccine","county_5",35039
"5b33034d975e260001e981c9","vsup","best","vaccine","county_1",6085
"5b33034d975e260001e981c9","vsup","best","vaccine","county_2",12086
"5b33034d975e260001e981c9","vsup","best","vaccine","county_3",53033
"5b33034d975e260001e981c9","vsup","best","vaccine","county_4",24031
"5b33034d975e260001e981c9","vsup","best","vaccine","county_5",48141
"5bb3bd54ce74250001c2fa46","vsup","best","vaccine","county_1",4001
"5bb3bd54ce74250001c2fa46","vsup","best","vaccine","county_2",4017
"5bb3bd54ce74250001c2fa46","vsup","best","vaccine","county_3",35039
"5bb3bd54ce74250001c2fa46","vsup","best","vaccine","county_4",56039
"5bb3bd54ce74250001c2fa46","vsup","best","vaccine","county_5",23005
