"participant","county","fips"
"574450f63fdc69000e09555d","county_1",49045
"574450f63fdc69000e09555d","county_2",42125
"574450f63fdc69000e09555d","county_3",40017
"574450f63fdc69000e09555d","county_4",55133
"574450f63fdc69000e09555d","county_5",31153
"5be2beac398f560001a58df7","county_1",55109
"5be2beac398f560001a58df7","county_2",26093
"5be2beac398f560001a58df7","county_3",9005
"5be2beac398f560001a58df7","county_4",48085
"5be2beac398f560001a58df7","county_5",20091
"5ea96c415a6a4e068b6d1e84","county_1",36103
"5ea96c415a6a4e068b6d1e84","county_2",34005
"5ea96c415a6a4e068b6d1e84","county_3",42029
"5ea96c415a6a4e068b6d1e84","county_4",9005
"5ea96c415a6a4e068b6d1e84","county_5",34037
"5f4d52bb1c7d049f204df2ce","county_1",24031
"5f4d52bb1c7d049f204df2ce","county_2",36103
"5f4d52bb1c7d049f204df2ce","county_3",48085
"5f4d52bb1c7d049f204df2ce","county_4",6081
"5f4d52bb1c7d049f204df2ce","county_5",17197
"5fe76396a4feb05bf1629a6c","county_1",48085
"5fe76396a4feb05bf1629a6c","county_2",34019
"5fe76396a4feb05bf1629a6c","county_3",55109
"5fe76396a4feb05bf1629a6c","county_4",19049
"5fe76396a4feb05bf1629a6c","county_5",8035
"605399bd9b612f585a9f8412","county_1",27163
"605399bd9b612f585a9f8412","county_2",27037
"605399bd9b612f585a9f8412","county_3",34027
"605399bd9b612f585a9f8412","county_4",9005
"605399bd9b612f585a9f8412","county_5",47187
"60fdbfca9d0cf6294320f469","county_1",34005
"60fdbfca9d0cf6294320f469","county_2",51107
"60fdbfca9d0cf6294320f469","county_3",55109
"60fdbfca9d0cf6294320f469","county_4",53061
"60fdbfca9d0cf6294320f469","county_5",24005
"63d7d7b654e057b287d2bd9b","county_1",27019
"63d7d7b654e057b287d2bd9b","county_2",8035
"63d7d7b654e057b287d2bd9b","county_3",51107
"63d7d7b654e057b287d2bd9b","county_4",34019
"63d7d7b654e057b287d2bd9b","county_5",31153
