State,County,fips,Rate,Surprise,Duration,participant
Idaho,Idaho County,16049,0.865,0.00153956,1318,vsup-574450f63fdc69000e09555d
Washington,Whatcom County,53073,0.847,0.001547511,125,vsup-574450f63fdc69000e09555d
Pennsylvania,Allegheny County,42003,0.875,0.018452903,165,vsup-574450f63fdc69000e09555d
Pennsylvania,Westmoreland County,42129,0.897,0.016204931,2124,vsup-574450f63fdc69000e09555d
Michigan,Barry County,26015,0.907,0.007948081,427,vsup-574450f63fdc69000e09555d
Michigan,Ionia County,26067,0.869,0.003538909,148,vsup-574450f63fdc69000e09555d
Michigan,Kent County,26081,0.866,0.010021778,420,vsup-574450f63fdc69000e09555d
Michigan,Ottawa County,26139,0.905,0.016656045,152,vsup-574450f63fdc69000e09555d
Wisconsin,Sheboygan County,55117,0.918,0.012729082,345,vsup-574450f63fdc69000e09555d
Wisconsin,Fond du Lac County,55039,0.915,0.011549242,259,vsup-574450f63fdc69000e09555d
Wisconsin,Dodge County,55027,0.912,0.010266526,1378,vsup-574450f63fdc69000e09555d
Tennessee,Grainger County,47057,0.813,-0.002011816,173,vsup-574450f63fdc69000e09555d
Georgia,Baker County,13007,0.805,-0.000968545,678,vsup-574450f63fdc69000e09555d
Texas,Aransas County,48007,0.822,-0.001416348,160,vsup-574450f63fdc69000e09555d
Texas,Denton County,48121,0.916,0.032878622,218,vsup-574450f63fdc69000e09555d
Texas,Denton County,48121,0.916,0.032878622,3878,vsup-574450f63fdc69000e09555d
Utah,Tooele County,49045,0.931,0.011372897,2695,vsup-574450f63fdc69000e09555d
Wisconsin,Marinette County,55075,0.868,0.002706388,488,vsup-574450f63fdc69000e09555d
Kansas,Stafford County,20185,0.855,0.000465732,175,vsup-574450f63fdc69000e09555d
Utah,Tooele County,49045,0.931,0.011372897,2135,vsup-574450f63fdc69000e09555d
Nevada,Mineral County,32021,0.797,-0.001402201,358,vsup-574450f63fdc69000e09555d
Tennessee,Hardeman County,47069,0.788,-0.004040565,154,vsup-574450f63fdc69000e09555d
Mississippi,DeSoto County,28033,0.902,0.01258735,459,vsup-574450f63fdc69000e09555d
Mississippi,Marshall County,28093,0.822,-0.001671291,445,vsup-574450f63fdc69000e09555d
Mississippi,DeSoto County,28033,0.902,0.01258735,2727,vsup-574450f63fdc69000e09555d
Tennessee,DeKalb County,47041,0.811,-0.002000119,277,vsup-574450f63fdc69000e09555d
Tennessee,Wilson County,47189,0.908,0.012070038,1530,vsup-574450f63fdc69000e09555d
Indiana,Marion County,18097,0.802,-0.017889971,522,vsup-574450f63fdc69000e09555d
Indiana,Fayette County,18041,0.818,-0.001645128,229,vsup-574450f63fdc69000e09555d
Indiana,Wayne County,18177,0.818,-0.002775938,711,vsup-574450f63fdc69000e09555d
Maryland,Prince George's County,24033,0.907,0.030332116,297,vsup-574450f63fdc69000e09555d
Pennsylvania,Greene County,42059,0.852,0.001096762,155,vsup-574450f63fdc69000e09555d
Pennsylvania,Washington County,42125,0.903,0.013762798,1923,vsup-574450f63fdc69000e09555d
Pennsylvania,Washington County,42125,0.903,0.013762798,931,vsup-574450f63fdc69000e09555d
Oklahoma,Noble County,40103,0.884,0.002256929,206,vsup-574450f63fdc69000e09555d
Oklahoma,Kingfisher County,40073,0.911,0.004295305,153,vsup-574450f63fdc69000e09555d
Oklahoma,Canadian County,40017,0.921,0.014541417,3782,vsup-574450f63fdc69000e09555d
Tennessee,Bedford County,47003,0.831,-0.000983971,276,vsup-574450f63fdc69000e09555d
Tennessee,Marshall County,47117,0.865,0.002182703,225,vsup-574450f63fdc69000e09555d
Tennessee,Williamson County,47187,0.954,0.025823503,2732,vsup-574450f63fdc69000e09555d
Illinois,Livingston County,17105,0.867,0.002483574,733,vsup-574450f63fdc69000e09555d
Wisconsin,Waukesha County,55133,0.95,0.032966926,1903,vsup-574450f63fdc69000e09555d
Michigan,Wayne County,26163,0.763,-0.047924575,184,vsup-574450f63fdc69000e09555d
Michigan,Livingston County,26093,0.941,0.02101859,2780,vsup-574450f63fdc69000e09555d
Wisconsin,Dane County,55025,0.876,0.012626681,320,vsup-574450f63fdc69000e09555d
Wisconsin,Waukesha County,55133,0.95,0.032966926,2919,vsup-574450f63fdc69000e09555d
Colorado,Larimer County,8069,0.876,0.010129627,126,vsup-574450f63fdc69000e09555d
Colorado,Weld County,8123,0.888,0.01270685,224,vsup-574450f63fdc69000e09555d
Colorado,Adams County,8001,0.878,0.012910175,1071,vsup-574450f63fdc69000e09555d
Texas,Walker County,48471,0.757,-0.010796567,193,vsup-574450f63fdc69000e09555d
Texas,Leon County,48289,0.837,-0.000206228,308,vsup-574450f63fdc69000e09555d
Colorado,Las Animas County,8071,0.83,-0.000593394,252,vsup-574450f63fdc69000e09555d
Colorado,Huerfano County,8055,0.852,0.000467032,744,vsup-574450f63fdc69000e09555d
Utah,Duchesne County,49013,0.873,0.002251746,217,vsup-574450f63fdc69000e09555d
Utah,Davis County,49011,0.938,0.027472282,1372,vsup-574450f63fdc69000e09555d
Montana,Big Horn County,30003,0.732,-0.006058061,233,vsup-574450f63fdc69000e09555d
Montana,Yellowstone County,30111,0.899,0.011304899,171,vsup-574450f63fdc69000e09555d
Nebraska,Washington County,31177,0.902,0.00431124,258,vsup-574450f63fdc69000e09555d
Nebraska,Douglas County,31055,0.865,0.008970595,236,vsup-574450f63fdc69000e09555d
Nebraska,Sarpy County,31153,0.947,0.021770085,7716,vsup-574450f63fdc69000e09555d
South Carolina,Sumter County,45085,0.789,-0.008097581,2243,vsup-574450f63fdc69000e09555d
Iowa,Boone County,19015,0.906,0.005186448,127,vsup-574450f63fdc69000e09555d
Iowa,Madison County,19121,0.927,0.005320046,120,vsup-574450f63fdc69000e09555d
Iowa,Fremont County,19071,0.89,0.002014723,172,vsup-574450f63fdc69000e09555d
New Jersey,Union County,34039,0.897,0.020427104,267,vsup-5be2beac398f560001a58df7
New York,Orange County,36071,0.878,0.011265716,394,vsup-5be2beac398f560001a58df7
Montana,Lincoln County,30053,0.836,-0.000286756,249,vsup-5be2beac398f560001a58df7
Missouri,Howard County,29089,0.836,-0.000207097,340,vsup-5be2beac398f560001a58df7
Illinois,Macoupin County,17117,0.867,0.002770031,586,vsup-5be2beac398f560001a58df7
Illinois,Montgomery County,17135,0.844,0.000310999,1232,vsup-5be2beac398f560001a58df7
Illinois,Macoupin County,17117,0.867,0.002770031,678,vsup-5be2beac398f560001a58df7
Illinois,Macoupin County,17117,0.867,0.002770031,249,vsup-5be2beac398f560001a58df7
Illinois,Macoupin County,17117,0.867,0.002770031,964,vsup-5be2beac398f560001a58df7
Illinois,Macoupin County,17117,0.867,0.002770031,205,vsup-5be2beac398f560001a58df7
Illinois,Macoupin County,17117,0.867,0.002770031,1228,vsup-5be2beac398f560001a58df7
Minnesota,Olmsted County,27109,0.909,0.013042302,318,vsup-5be2beac398f560001a58df7
Wisconsin,St. Croix County,55109,0.952,0.016004066,1575,vsup-5be2beac398f560001a58df7
Wisconsin,Winnebago County,55139,0.878,0.007542585,476,vsup-5be2beac398f560001a58df7
Wisconsin,Walworth County,55127,0.876,0.005563448,362,vsup-5be2beac398f560001a58df7
Michigan,Ionia County,26067,0.869,0.003538909,122,vsup-5be2beac398f560001a58df7
Michigan,Ingham County,26065,0.791,-0.012780292,428,vsup-5be2beac398f560001a58df7
Michigan,Livingston County,26093,0.941,0.02101859,1111,vsup-5be2beac398f560001a58df7
Michigan,Jackson County,26075,0.848,0.001503466,371,vsup-5be2beac398f560001a58df7
Michigan,Cass County,26027,0.864,0.002615565,329,vsup-5be2beac398f560001a58df7
Michigan,Cass County,26027,0.864,0.002615565,826,vsup-5be2beac398f560001a58df7
Michigan,Cass County,26027,0.864,0.002615565,1236,vsup-5be2beac398f560001a58df7
Michigan,Cass County,26027,0.864,0.002615565,122,vsup-5be2beac398f560001a58df7
Pennsylvania,Tioga County,42117,0.866,0.002526791,368,vsup-5be2beac398f560001a58df7
Connecticut,Litchfield County,9005,0.932,0.01879211,1389,vsup-5be2beac398f560001a58df7
Virginia,Lunenburg County,51111,0.814,-0.001409621,252,vsup-5be2beac398f560001a58df7
Virginia,Lunenburg County,51111,0.814,-0.001409621,728,vsup-5be2beac398f560001a58df7
South Carolina,Newberry County,45071,0.802,-0.003638262,370,vsup-5be2beac398f560001a58df7
Georgia,Crawford County,13079,0.819,-0.00114392,210,vsup-5be2beac398f560001a58df7
Georgia,Monroe County,13207,0.867,0.002140505,817,vsup-5be2beac398f560001a58df7
Georgia,Monroe County,13207,0.867,0.002140505,438,vsup-5be2beac398f560001a58df7
Arkansas,Drew County,5043,0.756,-0.00555701,295,vsup-5be2beac398f560001a58df7
Texas,Denton County,48121,0.916,0.032878622,368,vsup-5be2beac398f560001a58df7
Texas,Collin County,48085,0.931,0.042092445,1303,vsup-5be2beac398f560001a58df7
Texas,Hunt County,48231,0.812,-0.004194077,598,vsup-5be2beac398f560001a58df7
Oklahoma,Tillman County,40141,0.779,-0.002562714,198,vsup-5be2beac398f560001a58df7
Texas,Montague County,48337,0.845,0.000324165,326,vsup-5be2beac398f560001a58df7
Oklahoma,Cimarron County,40025,0.841,1.74E-05,234,vsup-5be2beac398f560001a58df7
Colorado,Baca County,8009,0.805,-0.001021824,166,vsup-5be2beac398f560001a58df7
Oklahoma,Cimarron County,40025,0.841,1.74E-05,1141,vsup-5be2beac398f560001a58df7
Kansas,Mitchell County,20123,0.852,0.000447928,431,vsup-5be2beac398f560001a58df7
Kansas,Smith County,20183,0.867,0.000788033,355,vsup-5be2beac398f560001a58df7
Kansas,Decatur County,20039,0.825,-0.000397709,120,vsup-5be2beac398f560001a58df7
Kansas,Pottawatomie County,20149,0.903,0.004704596,302,vsup-5be2beac398f560001a58df7
Missouri,Johnson County,29101,0.838,-0.000251726,157,vsup-5be2beac398f560001a58df7
Missouri,Cass County,29037,0.905,0.010072621,404,vsup-5be2beac398f560001a58df7
Kansas,Johnson County,20091,0.944,0.037712017,1604,vsup-5be2beac398f560001a58df7
Montana,Lake County,30047,0.791,-0.00415362,178,vsup-5ea96c415a6a4e068b6d1e84
Tennessee,Knox County,47093,0.842,0.000584712,228,vsup-5ea96c415a6a4e068b6d1e84
Oklahoma,Love County,40085,0.878,0.001837617,124,vsup-5ea96c415a6a4e068b6d1e84
Oklahoma,Choctaw County,40023,0.69,-0.008851632,222,vsup-5ea96c415a6a4e068b6d1e84
Pennsylvania,Elk County,42047,0.906,0.005536716,143,vsup-5ea96c415a6a4e068b6d1e84
Pennsylvania,Mifflin County,42087,0.865,0.002589833,120,vsup-5ea96c415a6a4e068b6d1e84
Pennsylvania,Cumberland County,42041,0.922,0.019605693,318,vsup-5ea96c415a6a4e068b6d1e84
Pennsylvania,York County,42133,0.897,0.018198942,219,vsup-5ea96c415a6a4e068b6d1e84
New York,Suffolk County,36103,0.928,0.050156783,1511,vsup-5ea96c415a6a4e068b6d1e84
Connecticut,New Haven County,9009,0.879,0.017273411,333,vsup-5ea96c415a6a4e068b6d1e84
New Jersey,Gloucester County,34015,0.921,0.020913374,160,vsup-5ea96c415a6a4e068b6d1e84
New Jersey,Burlington County,34005,0.936,0.030496126,1503,vsup-5ea96c415a6a4e068b6d1e84
Pennsylvania,Bucks County,42017,0.939,0.037026813,1608,vsup-5ea96c415a6a4e068b6d1e84
Pennsylvania,Montgomery County,42091,0.936,0.041029067,267,vsup-5ea96c415a6a4e068b6d1e84
Pennsylvania,Delaware County,42045,0.896,0.020086774,533,vsup-5ea96c415a6a4e068b6d1e84
Pennsylvania,Chester County,42029,0.931,0.031083686,756,vsup-5ea96c415a6a4e068b6d1e84
New Jersey,Ocean County,34029,0.891,0.018834359,215,vsup-5ea96c415a6a4e068b6d1e84
New Jersey,Burlington County,34005,0.936,0.030496126,1019,vsup-5ea96c415a6a4e068b6d1e84
Pennsylvania,Bucks County,42017,0.939,0.037026813,1390,vsup-5ea96c415a6a4e068b6d1e84
Pennsylvania,Montgomery County,42091,0.936,0.041029067,137,vsup-5ea96c415a6a4e068b6d1e84
Pennsylvania,Bucks County,42017,0.939,0.037026813,286,vsup-5ea96c415a6a4e068b6d1e84
Connecticut,Litchfield County,9005,0.932,0.01879211,2482,vsup-5ea96c415a6a4e068b6d1e84
New Jersey,Sussex County,34037,0.947,0.019274208,198,vsup-5ea96c415a6a4e068b6d1e84
Pennsylvania,Pike County,42103,0.901,0.006940487,169,vsup-5ea96c415a6a4e068b6d1e84
New Jersey,Sussex County,34037,0.947,0.019274208,1159,vsup-5ea96c415a6a4e068b6d1e84
Washington,Okanogan County,53047,0.782,-0.005762459,527,vsup-5f4d52bb1c7d049f204df2ce
Texas,Culberson County,48109,0.706,-0.003076782,244,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Chaves County,35005,0.788,-0.006440114,2291,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Otero County,35035,0.786,-0.006734145,518,vsup-5f4d52bb1c7d049f204df2ce
Oklahoma,Beaver County,40007,0.883,0.001514812,275,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,De Baca County,35011,0.773,-0.001396931,329,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Lincoln County,35027,0.846,0.000390664,214,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Sierra County,35051,0.788,-0.002673098,970,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Otero County,35035,0.786,-0.006734145,1432,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Eddy County,35015,0.854,0.001596985,401,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Otero County,35035,0.786,-0.006734145,1940,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Dona Ana County,35013,0.721,-0.026404566,688,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Otero County,35035,0.786,-0.006734145,551,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Dona Ana County,35013,0.721,-0.026404566,463,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Otero County,35035,0.786,-0.006734145,663,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Dona Ana County,35013,0.721,-0.026404566,609,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Otero County,35035,0.786,-0.006734145,2276,vsup-5f4d52bb1c7d049f204df2ce
New Mexico,Dona Ana County,35013,0.721,-0.026404566,1121,vsup-5f4d52bb1c7d049f204df2ce
Arizona,Navajo County,4017,0.709,-0.020751178,475,vsup-5f4d52bb1c7d049f204df2ce
Arizona,Apache County,4001,0.641,-0.025447415,2242,vsup-5f4d52bb1c7d049f204df2ce
Arizona,Navajo County,4017,0.709,-0.020751178,617,vsup-5f4d52bb1c7d049f204df2ce
Arizona,Apache County,4001,0.641,-0.025447415,482,vsup-5f4d52bb1c7d049f204df2ce
Georgia,Troup County,13285,0.787,-0.006806004,132,vsup-5f4d52bb1c7d049f204df2ce
Georgia,Thomas County,13275,0.805,-0.00361646,123,vsup-5f4d52bb1c7d049f204df2ce
Alabama,DeKalb County,1049,0.785,-0.007151996,147,vsup-5f4d52bb1c7d049f204df2ce
Alabama,Marshall County,1095,0.79,-0.007511151,351,vsup-5f4d52bb1c7d049f204df2ce
Indiana,Greene County,18055,0.871,0.00267927,455,vsup-5f4d52bb1c7d049f204df2ce
Indiana,Brown County,18013,0.894,0.003199267,1138,vsup-5f4d52bb1c7d049f204df2ce
Indiana,Monroe County,18105,0.753,-0.016077444,3902,vsup-5f4d52bb1c7d049f204df2ce
Texas,Duval County,48131,0.748,-0.004746559,450,vsup-5f4d52bb1c7d049f204df2ce
Texas,Webb County,48479,0.685,-0.038438672,812,vsup-5f4d52bb1c7d049f204df2ce
Arizona,Coconino County,4005,0.79,-0.009106712,128,vsup-5f4d52bb1c7d049f204df2ce
California,Santa Barbara County,6083,0.846,0.001876031,132,vsup-5f4d52bb1c7d049f204df2ce
California,Tulare County,6107,0.729,-0.035884937,622,vsup-5f4d52bb1c7d049f204df2ce
