State,County,Fips,Rate,Surprise,Duration,Participant
AZ,Mohave County,4015,0.429,-0.7521431050576992,312,vsup-58404dae32e21e0001f80519
NV,White Pine County,32033,0.546,0.020991762916023143,724,vsup-58404dae32e21e0001f80519
IA,Jasper County,19099,0.596,0.1942949418090916,121,vsup-58404dae32e21e0001f80519
AR,Monroe County,5095,0.591,0.07607779873581319,126,vsup-58404dae32e21e0001f80519
TX,Bowie County,48037,0.402,-0.6295093977446856,1124,vsup-58404dae32e21e0001f80519
TX,Cass County,48067,0.35600000000000004,-0.4838902021771391,121,vsup-58404dae32e21e0001f80519
TX,Duval County,48131,0.628,0.16012441056378676,167,vsup-58404dae32e21e0001f80519
TX,Webb County,48479,0.95,3.357508558974346,3832,vsup-58404dae32e21e0001f80519
TX,La Salle County,48283,0.631,0.13562443091702922,163,vsup-58404dae32e21e0001f80519
TX,Falls County,48145,0.462,-0.14723531673312487,142,vsup-58404dae32e21e0001f80519
TX,Navarro County,48349,0.455,-0.2751220660335976,241,vsup-58404dae32e21e0001f80519
TX,Kaufman County,48257,0.53,-0.014719581994424876,890,vsup-58404dae32e21e0001f80519
TX,Duval County,48131,0.628,0.16012441056378676,432,vsup-58404dae32e21e0001f80519
HI,Hawaii County,15001,0,0,481,vsup-58404dae32e21e0001f80519
FL,Dixie County,12029,0.35200000000000004,-0.3708901762036103,144,vsup-58404dae32e21e0001f80519
GA,Ware County,13299,0.39399999999999996,-0.41454600634775673,123,vsup-58404dae32e21e0001f80519
SC,Dorchester County,45035,0.55,0.1120955352629175,176,vsup-58404dae32e21e0001f80519
NC,Wake County,37183,0.794,4.169579437543396,234,vsup-58404dae32e21e0001f80519
PA,Chester County,42029,0.8290000000000001,3.2876607727237332,2698,vsup-58404dae32e21e0001f80519
PA,Franklin County,42055,0.514,-0.11574827303807321,161,vsup-58404dae32e21e0001f80519
AZ,Navajo County,4017,0.8079999999999999,1.4363523984361974,1790,vsup-58404dae32e21e0001f80519
AZ,Apache County,4001,0.95,1.7460433431494484,1795,vsup-58404dae32e21e0001f80519
AZ,Navajo County,4017,0.8079999999999999,1.4363523984361974,185,vsup-58404dae32e21e0001f80519
AZ,Graham County,4009,0.657,0.38853838506849686,243,vsup-58404dae32e21e0001f80519
AZ,Cochise County,4003,0.68,0.8249682332318884,734,vsup-58404dae32e21e0001f80519
FL,Miami-Dade County,12086,0.872,7.956152717577548,1227,vsup-58404dae32e21e0001f80519
FL,Duval County,12031,0.625,1.417299580238175,189,vsup-58404dae32e21e0001f80519
TX,Deaf Smith County,48117,0.436,-0.20854303557130177,175,vsup-58404dae32e21e0001f80519
AZ,Coconino County,4005,0.8,1.5834475233116283,392,vsup-58404dae32e21e0001f80519
AZ,Mohave County,4015,0.429,-0.7521431050576992,308,vsup-58404dae32e21e0001f80519
CA,San Bernardino County,6071,0.593,1.3987943703044003,459,vsup-58404dae32e21e0001f80519
AZ,Coconino County,4005,0.8,1.5834475233116283,339,vsup-58404dae32e21e0001f80519
AZ,Navajo County,4017,0.8079999999999999,1.4363523984361974,2053,vsup-58404dae32e21e0001f80519
PA,Dauphin County,42043,0.6629999999999999,1.0819807353565822,148,vsup-58404dae32e21e0001f80519
PA,Berks County,42011,0.63,0.9953882076986394,329,vsup-58404dae32e21e0001f80519
CT,New London County,9011,0.812,2.2321706807855892,342,vsup-58404dae32e21e0001f80519
CT,Litchfield County,9005,0.773,1.5958023858963726,300,vsup-58404dae32e21e0001f80519
CT,New Haven County,9009,0.805,3.827783805059594,311,vsup-58404dae32e21e0001f80519
CT,Fairfield County,9001,0.8440000000000001,4.550574050993655,1943,vsup-58404dae32e21e0001f80519
MN,Faribault County,27043,0.584,0.09557787024802665,245,vsup-58404dae32e21e0001f80519
CA,Fresno County,6019,0.63,1.523954742086086,188,vsup-58404dae32e21e0001f80519
CA,Madera County,6039,0.557,0.15422458811135634,353,vsup-58404dae32e21e0001f80519
CA,Contra Costa County,6013,0.838,4.909438081428976,1508,vsup-58404dae32e21e0001f80519
CA,Santa Barbara County,6083,0.7290000000000001,2.0408935920056557,142,vsup-58404dae32e21e0001f80519
CA,Ventura County,6111,0.736,2.879482663109257,903,vsup-58404dae32e21e0001f80519
CA,Santa Barbara County,6083,0.7290000000000001,2.0408935920056557,872,vsup-58404dae32e21e0001f80519
CA,San Luis Obispo County,6079,0.621,0.742829185286527,861,vsup-58404dae32e21e0001f80519
CA,Santa Barbara County,6083,0.7290000000000001,2.0408935920056557,1490,vsup-58404dae32e21e0001f80519
AZ,Pima County,4019,0.7190000000000001,2.9340684831642863,240,vsup-58404dae32e21e0001f80519
AZ,Cochise County,4003,0.68,0.8249682332318884,179,vsup-58404dae32e21e0001f80519
AZ,Pima County,4019,0.7190000000000001,2.9340684831642863,849,vsup-58404dae32e21e0001f80519
WY,Fremont County,56013,0.545,0.03933962904635249,243,vsup-58404dae32e21e0001f80519
WY,Teton County,56039,0.95,1.0060044399252084,2511,vsup-58404dae32e21e0001f80519
WY,Sublette County,56035,0.38299999999999995,-0.2351510778355241,893,vsup-58404dae32e21e0001f80519
ID,Clark County,16033,0.433,-0.045975168640936065,178,vsup-58404dae32e21e0001f80519
WY,Park County,56029,0.473,-0.16141630243489313,266,vsup-58404dae32e21e0001f80519
WY,Teton County,56039,0.95,1.0060044399252084,1411,vsup-58404dae32e21e0001f80519
NY,Steuben County,36101,0.622,0.4374733123683433,220,vsup-58404dae32e21e0001f80519
