State,County,fips,Rate,Surprise,Duration,participant
Idaho,Idaho County,16049,0.865,0.0015395604051103916,1318,vsup-574450f63fdc69000e09555d
Washington,Whatcom County,53073,0.847,0.001547510587246046,125,vsup-574450f63fdc69000e09555d
Pennsylvania,Allegheny County,42003,0.875,0.01845290341718271,165,vsup-574450f63fdc69000e09555d
Pennsylvania,Westmoreland County,42129,0.897,0.016204931235975852,2124,vsup-574450f63fdc69000e09555d
Michigan,Barry County,26015,0.907,0.00794808109001925,427,vsup-574450f63fdc69000e09555d
Michigan,Ionia County,26067,0.8690000000000001,0.0035389094876157913,148,vsup-574450f63fdc69000e09555d
Michigan,Kent County,26081,0.866,0.010021777628138355,420,vsup-574450f63fdc69000e09555d
Michigan,Ottawa County,26139,0.905,0.01665604539971282,152,vsup-574450f63fdc69000e09555d
Wisconsin,Sheboygan County,55117,0.9179999999999999,0.01272908162657381,345,vsup-574450f63fdc69000e09555d
Wisconsin,Fond du Lac County,55039,0.915,0.01154924192657531,259,vsup-574450f63fdc69000e09555d
Wisconsin,Dodge County,55027,0.912,0.01026652638917042,1378,vsup-574450f63fdc69000e09555d
Tennessee,Grainger County,47057,0.813,-0.0020118158884931026,173,vsup-574450f63fdc69000e09555d
Georgia,Baker County,13007,0.805,-0.0009685450230992827,678,vsup-574450f63fdc69000e09555d
Texas,Aransas County,48007,0.8220000000000001,-0.0014163479475483181,160,vsup-574450f63fdc69000e09555d
Texas,Denton County,48121,0.9159999999999999,0.03287862158357149,218,vsup-574450f63fdc69000e09555d
Texas,Denton County,48121,0.9159999999999999,0.03287862158357149,3878,vsup-574450f63fdc69000e09555d
Utah,Tooele County,49045,0.9309999999999999,0.011372897476372653,2695,vsup-574450f63fdc69000e09555d
Wisconsin,Marinette County,55075,0.868,0.0027063882180062945,488,vsup-574450f63fdc69000e09555d
Kansas,Stafford County,20185,0.855,0.00046573172616348047,175,vsup-574450f63fdc69000e09555d
Utah,Tooele County,49045,0.9309999999999999,0.011372897476372653,2135,vsup-574450f63fdc69000e09555d
Nevada,Mineral County,32021,0.797,-0.0014022008381521182,358,vsup-574450f63fdc69000e09555d
Tennessee,Hardeman County,47069,0.7879999999999999,-0.004040564670096548,154,vsup-574450f63fdc69000e09555d
Mississippi,DeSoto County,28033,0.902,0.012587350185122699,459,vsup-574450f63fdc69000e09555d
Mississippi,Marshall County,28093,0.8220000000000001,-0.0016712914423747721,445,vsup-574450f63fdc69000e09555d
Mississippi,DeSoto County,28033,0.902,0.012587350185122699,2727,vsup-574450f63fdc69000e09555d
Tennessee,DeKalb County,47041,0.8109999999999999,-0.002000118555797232,277,vsup-574450f63fdc69000e09555d
