fips,county,state,pop2017,poverty,original
1001,Autauga County,Alabama,55504,86.3,13.7
1003,Baldwin County,Alabama,212628,88.2,11.8
1005,Barbour County,Alabama,25270,72.8,27.2
1007,Bibb County,Alabama,22668,84.8,15.2
1009,Blount County,Alabama,58013,84.4,15.6
1011,Bullock County,Alabama,10309,71.5,28.5
1013,Butler County,Alabama,19825,75.6,24.4
1015,Calhoun County,Alabama,114728,81.4,18.6
1017,Chambers County,Alabama,33713,81.2,18.8
1019,Cherokee County,Alabama,25857,83.9,16.1
1021,Chilton County,Alabama,44067,80.6,19.4
1023,Choctaw County,Alabama,12945,77.7,22.3
1025,Clarke County,Alabama,24083,74.7,25.3
1027,Clay County,Alabama,13367,80.9,19.1
1029,Cleburne County,Alabama,14900,80.9,19.1
1031,Coffee County,Alabama,51874,83.9,16.1
1033,Colbert County,Alabama,54500,83.2,16.8
1035,Conecuh County,Alabama,12469,73.6,26.4
1037,Coosa County,Alabama,10754,85.6,14.4
1039,Covington County,Alabama,37092,82.4,17.6
1041,Crenshaw County,Alabama,13871,82.4,17.6
1043,Cullman County,Alabama,82755,83.6,16.4
1045,Dale County,Alabama,49226,80.4,19.6
1047,Dallas County,Alabama,39215,68.1,31.9
1049,DeKalb County,Alabama,71617,78.5,21.5
1051,Elmore County,Alabama,81677,86.5,13.5
1053,Escambia County,Alabama,37447,76.2,23.8
1055,Etowah County,Alabama,102755,82.1,17.9
1057,Fayette County,Alabama,16468,81.9,18.1
1059,Franklin County,Alabama,31495,77,23
1061,Geneva County,Alabama,26421,77.5,22.5
1063,Greene County,Alabama,8330,61.2,38.8
1065,Hale County,Alabama,14812,73.9,26.1
1067,Henry County,Alabama,17147,86.3,13.7
1069,Houston County,Alabama,104346,81.5,18.5
1071,Jackson County,Alabama,51909,81,19
1073,Jefferson County,Alabama,659197,82.4,17.6
1075,Lamar County,Alabama,13946,76.9,23.1
1077,Lauderdale County,Alabama,92538,83.7,16.3
1079,Lawrence County,Alabama,33049,83.4,16.6
1081,Lee County,Alabama,161604,78,22
1083,Limestone County,Alabama,94402,85.2,14.8
