"participant","county","fips"
"5589b550fdf99b11b2d04248","county_1",56025
"5589b550fdf99b11b2d04248","county_2",29139
"5589b550fdf99b11b2d04248","county_3",8039
"5589b550fdf99b11b2d04248","county_4",49023
"5589b550fdf99b11b2d04248","county_5",18027
"5b6cb3049ee1a50001c5ef0f","county_1",6035
"5b6cb3049ee1a50001c5ef0f","county_2",16073
"5b6cb3049ee1a50001c5ef0f","county_3",16015
"5b6cb3049ee1a50001c5ef0f","county_4",16075
"5b6cb3049ee1a50001c5ef0f","county_5",16049
"5d67d4393fcbbc0019f3e1a4","county_1",39075
"5d67d4393fcbbc0019f3e1a4","county_2",29067
"5d67d4393fcbbc0019f3e1a4","county_3",29145
"5d67d4393fcbbc0019f3e1a4","county_4",13049
"5d67d4393fcbbc0019f3e1a4","county_5",1049
"5f1f2e8f5581670eea5f5e25","county_1",12029
"5f1f2e8f5581670eea5f5e25","county_2",1133
"5f1f2e8f5581670eea5f5e25","county_3",30053
"5f1f2e8f5581670eea5f5e25","county_4",38105
"5f1f2e8f5581670eea5f5e25","county_5",45007
"5f30510aa2052d49e527ff5c","county_1",38053
"5f30510aa2052d49e527ff5c","county_2",39075
"5f30510aa2052d49e527ff5c","county_3",18087
"5f30510aa2052d49e527ff5c","county_4",48165
"5f30510aa2052d49e527ff5c","county_5",29145
"60b91e7f81b40fd08d67baaa","county_1",32009
"60b91e7f81b40fd08d67baaa","county_2",20063
"60b91e7f81b40fd08d67baaa","county_3",38015
"60b91e7f81b40fd08d67baaa","county_4",56035
"60b91e7f81b40fd08d67baaa","county_5",41025
"628d78a2ccf4a41f24c2d2d8","county_1",39075
"628d78a2ccf4a41f24c2d2d8","county_2",29067
"628d78a2ccf4a41f24c2d2d8","county_3",1133
"628d78a2ccf4a41f24c2d2d8","county_4",29145
"628d78a2ccf4a41f24c2d2d8","county_5",18087
"63d3f9784545f70f92560166","county_1",39075
"63d3f9784545f70f92560166","county_2",38053
"63d3f9784545f70f92560166","county_3",18087
"63d3f9784545f70f92560166","county_4",29145
"63d3f9784545f70f92560166","county_5",29067
