State,County,Fips,Rate,Surprise,Duration,Participant
NJ,Ocean County,34029,0.561,0.35173011399329607,460,vsup-5589b550fdf99b11b2d04248
OK,Ellis County,40045,0.35700000000000004,-0.17306163767534008,361,vsup-5589b550fdf99b11b2d04248
NM,Catron County,35003,0.473,-0.05616617951549785,150,vsup-5589b550fdf99b11b2d04248
TX,Henderson County,48213,0.39299999999999996,-0.6338414537497676,720,vsup-5589b550fdf99b11b2d04248
OK,Ottawa County,40115,0.40299999999999997,-0.36196458173732743,226,vsup-5589b550fdf99b11b2d04248
KS,Gove County,20063,0.489,-0.035508224189069376,152,vsup-5589b550fdf99b11b2d04248
WI,Price County,55099,0.632,0.182457016408076,166,vsup-5589b550fdf99b11b2d04248
WI,Waupaca County,55135,0.555,0.08069143690970185,275,vsup-5589b550fdf99b11b2d04248
IL,Montgomery County,17135,0.523,-0.025481436856869703,235,vsup-5589b550fdf99b11b2d04248
TX,Armstrong County,48011,0.4,-0.09144588781171328,161,vsup-5589b550fdf99b11b2d04248
NE,Morrill County,31123,0.363,-0.18330013357019115,227,vsup-5589b550fdf99b11b2d04248
WY,Carbon County,56007,0.475,-0.1111250909166057,234,vsup-5589b550fdf99b11b2d04248
WY,Natrona County,56025,0.47200000000000003,-0.2711414274178231,1728,vsup-5589b550fdf99b11b2d04248
WY,Albany County,56001,0.578,0.14242598708708942,156,vsup-5589b550fdf99b11b2d04248
MO,Montgomery County,29139,0.498,-0.05894143307420908,1351,vsup-5589b550fdf99b11b2d04248
KS,Gove County,20063,0.489,-0.035508224189069376,167,vsup-5589b550fdf99b11b2d04248
CO,Kit Carson County,8063,0.39799999999999996,-0.17985479465784152,3140,vsup-5589b550fdf99b11b2d04248
CO,Lincoln County,8073,0.37,-0.19472349812178782,221,vsup-5589b550fdf99b11b2d04248
CO,Elbert County,8039,0.385,-0.3819572867917697,1390,vsup-5589b550fdf99b11b2d04248
NE,Cheyenne County,31033,0.43799999999999994,-0.1416508049281058,237,vsup-5589b550fdf99b11b2d04248
CO,Logan County,8075,0.391,-0.335671262343916,755,vsup-5589b550fdf99b11b2d04248
NE,Morrill County,31123,0.363,-0.18330013357019115,401,vsup-5589b550fdf99b11b2d04248
NE,Box Butte County,31013,0.349,-0.3020652311400803,772,vsup-5589b550fdf99b11b2d04248
WY,Johnson County,56019,0.442,-0.13208148972318312,225,vsup-5589b550fdf99b11b2d04248
WY,Natrona County,56025,0.47200000000000003,-0.2711414274178231,702,vsup-5589b550fdf99b11b2d04248
UT,Juab County,49023,0.379,-0.26685009949378913,3147,vsup-5589b550fdf99b11b2d04248
CO,Mesa County,8077,0.512,-0.12790082845145576,153,vsup-5589b550fdf99b11b2d04248
AL,Fayette County,1057,0.359,-0.3509865688983805,227,vsup-5589b550fdf99b11b2d04248
AL,Clarke County,1025,0.519,-0.03300450385233592,154,vsup-5589b550fdf99b11b2d04248
MS,Noxubee County,28103,0.565,0.05270291714854242,142,vsup-5589b550fdf99b11b2d04248
MS,Pontotoc County,28115,0.425,-0.3056712998532394,1174,vsup-5589b550fdf99b11b2d04248
OK,Cherokee County,40021,0.502,-0.10689723466257713,164,vsup-5589b550fdf99b11b2d04248
OK,McIntosh County,40091,0.5529999999999999,0.04559066078948951,606,vsup-5589b550fdf99b11b2d04248
OK,Okmulgee County,40111,0.43700000000000006,-0.29694412834774603,518,vsup-5589b550fdf99b11b2d04248
IN,Lawrence County,18093,0.511,-0.07279873765309787,607,vsup-5589b550fdf99b11b2d04248
IN,Martin County,18101,0.465,-0.10858907684145476,217,vsup-5589b550fdf99b11b2d04248
IN,Dubois County,18037,0.591,0.1918943727093879,403,vsup-5589b550fdf99b11b2d04248
