"participant","county_rank","fips"
"vsup-574450f63fdc69000e09555d","county_1",49045
"vsup-574450f63fdc69000e09555d","county_2",42125
"vsup-574450f63fdc69000e09555d","county_3",40017
"vsup-574450f63fdc69000e09555d","county_4",55133
"vsup-574450f63fdc69000e09555d","county_5",31153
"vsup-5be2beac398f560001a58df7","county_1",55109
"vsup-5be2beac398f560001a58df7","county_2",26093
"vsup-5be2beac398f560001a58df7","county_3",9005
"vsup-5be2beac398f560001a58df7","county_4",48085
"vsup-5be2beac398f560001a58df7","county_5",20091
"vsup-5ea96c415a6a4e068b6d1e84","county_1",36103
"vsup-5ea96c415a6a4e068b6d1e84","county_2",34005
"vsup-5ea96c415a6a4e068b6d1e84","county_3",42029
"vsup-5ea96c415a6a4e068b6d1e84","county_4",9005
"vsup-5ea96c415a6a4e068b6d1e84","county_5",34037
"vsup-5f4d52bb1c7d049f204df2ce","county_1",24031
"vsup-5f4d52bb1c7d049f204df2ce","county_2",36103
"vsup-5f4d52bb1c7d049f204df2ce","county_3",48085
"vsup-5f4d52bb1c7d049f204df2ce","county_4",6081
"vsup-5f4d52bb1c7d049f204df2ce","county_5",17197
"vsup-5fe76396a4feb05bf1629a6c","county_1",48085
"vsup-5fe76396a4feb05bf1629a6c","county_2",34019
"vsup-5fe76396a4feb05bf1629a6c","county_3",55109
"vsup-5fe76396a4feb05bf1629a6c","county_4",19049
"vsup-5fe76396a4feb05bf1629a6c","county_5",8035
"vsup-605399bd9b612f585a9f8412","county_1",27163
"vsup-605399bd9b612f585a9f8412","county_2",27037
"vsup-605399bd9b612f585a9f8412","county_3",34027
"vsup-605399bd9b612f585a9f8412","county_4",9005
"vsup-605399bd9b612f585a9f8412","county_5",47187
"vsup-60fdbfca9d0cf6294320f469","county_1",34005
"vsup-60fdbfca9d0cf6294320f469","county_2",51107
"vsup-60fdbfca9d0cf6294320f469","county_3",55109
"vsup-60fdbfca9d0cf6294320f469","county_4",53061
"vsup-60fdbfca9d0cf6294320f469","county_5",24005
"vsup-63d7d7b654e057b287d2bd9b","county_1",27019
"vsup-63d7d7b654e057b287d2bd9b","county_2",8035
"vsup-63d7d7b654e057b287d2bd9b","county_3",51107
"vsup-63d7d7b654e057b287d2bd9b","county_4",34019
"vsup-63d7d7b654e057b287d2bd9b","county_5",31153
